Week_Start,Week_End,Week_Number,Year,point_id,latitude,longitude,district,sampling_priority,region_type,NDVI,NDVI_Valid,Sentinel2_Images,Cloud_Probability_Threshold,Scene_Cloud_Threshold,study_area,dataset
2021-01-01,2021-01-08,1,2021,P061,18.507855650411397,76.91766048140843,Latur,high,priority,0.2957577109336853,1,71,65,80,Maharashtra,Sentinel-2 NDVI
2021-01-01,2021-01-08,1,2021,P062,18.422405896924207,76.3487594508077,Latur,high,priority,0.7169421315193176,1,71,65,80,Maharashtra,Sentinel-2 NDVI
2021-01-01,2021-01-08,1,2021,P063,18.235391198742693,77.05646783810116,Latur,high,priority,0.32660070061683655,1,71,65,80,Maharashtra,Sentinel-2 NDVI
2021-01-01,2021-01-08,1,2021,P064,18.193056493341274,76.77240080549139,Latur,high,priority,0.29482221603393555,1,71,65,80,Maharashtra,Sentinel-2 NDVI
2021-01-01,2021-01-08,1,2021,P065,18.331355512513895,76.44266811899327,Latur,high,priority,0.465457946062088,1,71,65,80,Maharashtra,Sentinel-2 NDVI
2021-01-01,2021-01-08,1,2021,P066,18.104739537876725,76.5352970251765,Latur,high,priority,0.44977623224258423,1,71,65,80,Maharashtra,Sentinel-2 NDVI
2021-01-01,2021-01-08,1,2021,P067,18.280552974211986,77.0569984711265,Latur,high,priority,0.5223965644836426,1,71,65,80,Maharashtra,Sentinel-2 NDVI
2021-01-01,2021-01-08,1,2021,P068,18.101823285787773,76.86595720469373,Latur,high,priority,0.28948161005973816,1,71,65,80,Maharashtra,Sentinel-2 NDVI
2021-01-01,2021-01-08,1,2021,P069,18.595075667016793,77.20284228928156,Latur,high,priority,0.22714930772781372,1,71,65,80,Maharashtra,Sentinel-2 NDVI
2021-01-01,2021-01-08,1,2021,P070,18.41499041187233,77.15322587185987,Latur,high,priority,0.2874646484851837,1,71,65,80,Maharashtra,Sentinel-2 NDVI
2021-01-01,2021-01-08,1,2021,P071,18.149138807065885,76.63019561379593,Latur,high,priority,0.7817789912223816,1,71,65,80,Maharashtra,Sentinel-2 NDVI
2021-01-01,2021-01-08,1,2021,P072,18.283393421583035,76.77331492120734,Latur,high,priority,0.6813088059425354,1,71,65,80,Maharashtra,Sentinel-2 NDVI
2021-01-01,2021-01-08,1,2021,P073,17.966315663874607,76.86453029235662,Latur,high,priority,0.22810214757919312,1,71,65,80,Maharashtra,Sentinel-2 NDVI
2021-01-01,2021-01-08,1,2021,P074,18.50832831512306,76.870318205524,Latur,high,priority,0.4542253613471985,1,71,65,80,Maharashtra,Sentinel-2 NDVI
2021-01-01,2021-01-08,1,2021,P075,18.41444640154381,77.20053247493588,Latur,high,priority,0.23556582629680634,1,71,65,80,Maharashtra,Sentinel-2 NDVI
2021-01-01,2021-01-08,1,2021,P076,18.377877313804504,76.25376722106614,Latur,high,priority,0.3491124212741852,1,71,65,80,Maharashtra,Sentinel-2 NDVI
2021-01-01,2021-01-08,1,2021,P077,18.059564385104267,76.5349046242838,Latur,high,priority,0.49905481934547424,1,71,65,80,Maharashtra,Sentinel-2 NDVI
2021-01-01,2021-01-08,1,2021,P078,18.1008824154655,76.96042326051098,Latur,high,priority,0.5195950269699097,1,71,65,80,Maharashtra,Sentinel-2 NDVI
2021-01-01,2021-01-08,1,2021,P079,18.73508698099394,76.77797468180819,Latur,high,priority,0.48016101121902466,1,71,65,80,Maharashtra,Sentinel-2 NDVI
2021-01-01,2021-01-08,1,2021,P080,18.46791548227568,76.3017694439065,Latur,high,priority,0.5876160860061646,1,71,65,80,Maharashtra,Sentinel-2 NDVI
2021-01-01,2021-01-08,1,2021,P081,18.10355787609756,76.67701617485712,Latur,high,priority,0.528444766998291,1,71,65,80,Maharashtra,Sentinel-2 NDVI
2021-01-01,2021-01-08,1,2021,P082,18.23907887531389,76.67830931416262,Latur,high,priority,0.19471880793571472,1,71,65,80,Maharashtra,Sentinel-2 NDVI
2021-01-01,2021-01-08,1,2021,P083,18.369289085175563,77.19996171000103,Latur,high,priority,0.20902425050735474,1,71,65,80,Maharashtra,Sentinel-2 NDVI
2021-01-01,2021-01-08,1,2021,P084,18.46362582706226,76.82249880582684,Latur,high,priority,0.2492465078830719,1,71,65,80,Maharashtra,Sentinel-2 NDVI
2021-01-01,2021-01-08,1,2021,P085,18.14788579966987,76.77194597718393,Latur,high,priority,0.671159029006958,1,71,65,80,Maharashtra,Sentinel-2 NDVI
2021-01-01,2021-01-08,1,2021,P001,19.940457800458272,74.57045211428928,Ahmednagar,normal,statewide,0.21918421983718872,1,71,65,80,Maharashtra,Sentinel-2 NDVI
2021-01-01,2021-01-08,1,2021,P005,20.832153156317954,77.06560453615967,Akola,normal,statewide,0.6989290714263916,1,71,65,80,Maharashtra,Sentinel-2 NDVI
2021-01-01,2021-01-08,1,2021,P007,21.014976299509232,76.87574047240498,Akola,normal,statewide,0.40864133834838867,1,71,65,80,Maharashtra,Sentinel-2 NDVI
2021-01-01,2021-01-08,1,2021,P008,20.828434266039377,77.35372489162701,Akola,normal,statewide,0.5801233053207397,1,71,65,80,Maharashtra,Sentinel-2 NDVI
2021-01-01,2021-01-08,1,2021,P009,21.360971327549258,77.94039543992572,Amravati,normal,statewide,0.22970084846019745,1,71,65,80,Maharashtra,Sentinel-2 NDVI
2021-01-01,2021-01-08,1,2021,P010,21.178803672212837,78.03301542790685,Amravati,normal,statewide,0.2742559015750885,1,71,65,80,Maharashtra,Sentinel-2 NDVI
2021-01-01,2021-01-08,1,2021,P011,20.814388097721018,78.21764450702477,Amravati,normal,statewide,0.5447573661804199,1,71,65,80,Maharashtra,Sentinel-2 NDVI
2021-01-01,2021-01-08,1,2021,P012,21.180502589714195,77.93681032267875,Amravati,normal,statewide,0.15704551339149475,1,71,65,80,Maharashtra,Sentinel-2 NDVI
2021-01-01,2021-01-08,1,2021,P013,20.031289688916964,74.8570519162974,Aurangabad,normal,statewide,0.32780084013938904,1,71,65,80,Maharashtra,Sentinel-2 NDVI
2021-01-01,2021-01-08,1,2021,P014,19.760185263069562,75.14270192978114,Aurangabad,normal,statewide,0.2451499104499817,1,71,65,80,Maharashtra,Sentinel-2 NDVI
2021-01-01,2021-01-08,1,2021,P015,19.9408189876436,74.76157364454102,Aurangabad,normal,statewide,0.29542484879493713,1,71,65,80,Maharashtra,Sentinel-2 NDVI
2021-01-01,2021-01-08,1,2021,P016,19.66981712112043,75.14262166596218,Aurangabad,normal,statewide,0.2224869281053543,1,71,65,80,Maharashtra,Sentinel-2 NDVI
2021-01-01,2021-01-08,1,2021,P017,21.04613203856966,79.85576216552393,Bhandara,normal,statewide,0.24408014118671417,1,71,65,80,Maharashtra,Sentinel-2 NDVI
2021-01-01,2021-01-08,1,2021,P018,21.31897105472685,79.76852877161537,Bhandara,normal,statewide,0.6709780097007751,1,71,65,80,Maharashtra,Sentinel-2 NDVI
2021-01-01,2021-01-08,1,2021,P019,21.40900922319803,79.77144948280537,Bhandara,normal,statewide,0.27735719084739685,1,71,65,80,Maharashtra,Sentinel-2 NDVI
2021-01-01,2021-01-08,1,2021,P020,21.144196588937042,79.57074980349083,Bhandara,normal,statewide,0.3545595109462738,1,71,65,80,Maharashtra,Sentinel-2 NDVI
2021-01-01,2021-01-08,1,2021,P024,18.763955201213946,75.90084720909012,Bid,normal,statewide,0.2764616310596466,1,71,65,80,Maharashtra,Sentinel-2 NDVI
2021-01-01,2021-01-08,1,2021,P025,20.93073496240753,76.20164478885242,Buldana,normal,statewide,0.20453031361103058,1,71,65,80,Maharashtra,Sentinel-2 NDVI
2021-01-01,2021-01-08,1,2021,P026,20.838939908121294,76.39311412898633,Buldana,normal,statewide,0.08888889104127884,1,71,65,80,Maharashtra,Sentinel-2 NDVI
2021-01-01,2021-01-08,1,2021,P027,20.657476790751314,76.48742857536776,Buldana,normal,statewide,0.17084252834320068,1,71,65,80,Maharashtra,Sentinel-2 NDVI
2021-01-01,2021-01-08,1,2021,P028,20.47967013624516,76.10222021266374,Buldana,normal,statewide,0.6441410779953003,1,71,65,80,Maharashtra,Sentinel-2 NDVI
2021-01-01,2021-01-08,1,2021,P029,20.32317798477448,79.92829390325927,Chandrapur,normal,statewide,0.4693877696990967,1,71,65,80,Maharashtra,Sentinel-2 NDVI
2021-01-01,2021-01-08,1,2021,P030,20.60872097983294,79.36304041732026,Chandrapur,normal,statewide,0.2739602029323578,1,71,65,80,Maharashtra,Sentinel-2 NDVI
2021-01-01,2021-01-08,1,2021,P031,20.511160307884595,79.64732594588165,Chandrapur,normal,statewide,0.30971428751945496,1,71,65,80,Maharashtra,Sentinel-2 NDVI
2021-01-01,2021-01-08,1,2021,P032,20.598621115946884,79.74569817422172,Chandrapur,normal,statewide,0.4910394251346588,1,71,65,80,Maharashtra,Sentinel-2 NDVI
2021-01-01,2021-01-08,1,2021,P037,19.963056524597132,79.91698116388667,Garhchiroli,normal,statewide,0.37086477875709534,1,71,65,80,Maharashtra,Sentinel-2 NDVI
2021-01-01,2021-01-08,1,2021,P038,19.062661462582188,79.88977172925856,Garhchiroli,normal,statewide,0.5092097520828247,1,71,65,80,Maharashtra,Sentinel-2 NDVI
2021-01-01,2021-01-08,1,2021,P039,19.510270485428137,79.9981368030594,Garhchiroli,normal,statewide,0.482676237821579,1,71,65,80,Maharashtra,Sentinel-2 NDVI
2021-01-01,2021-01-08,1,2021,P040,19.870365190999156,80.00935144220881,Garhchiroli,normal,statewide,0.3630659580230713,1,71,65,80,Maharashtra,Sentinel-2 NDVI
2021-01-01,2021-01-08,1,2021,P041,21.127639946725598,80.1465044724107,Gondiya,normal,statewide,0.23006834089756012,1,71,65,80,Maharashtra,Sentinel-2 NDVI
