point_id,latitude,longitude,cropland_percentage,cropland_threshold_percent,district,sampling_priority,region_type,grid_spacing_m,sampling_method,case_anchor_lat,case_anchor_lon,case_search_radius_m
P001,19.940459115485694,74.57045354774873,91.11817115620055,50,Ahmednagar,normal,statewide,10000,agricultural_grid_sampling,,,
P002,18.94672987388909,74.76302097108618,92.30423230321124,50,Ahmednagar,normal,statewide,10000,agricultural_grid_sampling,,,
P003,18.494693966442014,74.66892116953402,63.24602747314929,50,Ahmednagar,normal,statewide,10000,agricultural_grid_sampling,,,
P004,19.037203579399367,75.14207439020248,52.67920654610663,50,Ahmednagar,normal,statewide,10000,agricultural_grid_sampling,,,
P005,20.83215213743691,77.06560518400286,99.58687943576874,50,Akola,normal,statewide,10000,agricultural_grid_sampling,,,
P006,20.834361058592737,76.8734926583409,95.82014298810934,50,Akola,normal,statewide,10000,agricultural_grid_sampling,,,
P007,21.01497841279629,76.8757397930923,99.96052150613944,50,Akola,normal,statewide,10000,agricultural_grid_sampling,,,
P008,20.8284354955268,77.35372392212186,93.95210668821012,50,Akola,normal,statewide,10000,agricultural_grid_sampling,,,
P009,21.360970525846483,77.94039486889487,77.3027740099594,50,Amravati,normal,statewide,10000,agricultural_grid_sampling,,,
P010,21.178802246866432,78.03301343278763,78.34013271100845,50,Amravati,normal,statewide,10000,agricultural_grid_sampling,,,
P011,20.814386572426223,78.21764305313047,96.57326836652706,50,Amravati,normal,statewide,10000,agricultural_grid_sampling,,,
P012,21.180502155850025,77.93680935435142,66.03506874721846,50,Amravati,normal,statewide,10000,agricultural_grid_sampling,,,
P013,20.031287710246474,74.85705356209868,66.68385830618143,50,Aurangabad,normal,statewide,10000,agricultural_grid_sampling,,,
P014,19.7601847279892,75.14270330793386,85.08782451598688,50,Aurangabad,normal,statewide,10000,agricultural_grid_sampling,,,
P015,19.9408184174699,74.76157370651104,95.56201653676287,50,Aurangabad,normal,statewide,10000,agricultural_grid_sampling,,,
P016,19.669815239020505,75.14262315301636,77.4056690259502,50,Aurangabad,normal,statewide,10000,agricultural_grid_sampling,,,
P017,21.046131136234834,79.85576212821618,85.36095612019146,50,Bhandara,normal,statewide,10000,agricultural_grid_sampling,,,
P018,21.318973267091536,79.76852670875398,93.6692229775559,50,Bhandara,normal,statewide,10000,agricultural_grid_sampling,,,
P019,21.40901134730853,79.77144868545906,99.47713762931939,50,Bhandara,normal,statewide,10000,agricultural_grid_sampling,,,
P020,21.144195991476998,79.57074889165462,85.85047145350329,50,Bhandara,normal,statewide,10000,agricultural_grid_sampling,,,
P021,18.67502207052893,75.521081810597,51.44633385686805,50,Bid,normal,statewide,10000,agricultural_grid_sampling,,,
P022,18.85649753959961,75.04699078758388,82.31984060925934,50,Bid,normal,statewide,10000,agricultural_grid_sampling,,,
P023,19.12659772631419,75.6175618563342,93.05009595986145,50,Bid,normal,statewide,10000,agricultural_grid_sampling,,,
P024,18.763954589063196,75.9008463893539,90.81434601748435,50,Bid,normal,statewide,10000,agricultural_grid_sampling,,,
P025,20.93073456029869,76.20164565287975,71.83622932421717,50,Buldana,normal,statewide,10000,agricultural_grid_sampling,,,
P026,20.83894158281567,76.3931123543229,87.15237477752193,50,Buldana,normal,statewide,10000,agricultural_grid_sampling,,,
P027,20.657476146571263,76.48743080138584,94.91077137814725,50,Buldana,normal,statewide,10000,agricultural_grid_sampling,,,
P028,20.479670756724044,76.10221907121101,98.58702899660791,50,Buldana,normal,statewide,10000,agricultural_grid_sampling,,,
P029,20.323177928827498,79.92829249655269,90.9542448304996,50,Chandrapur,normal,statewide,10000,agricultural_grid_sampling,,,
P030,20.608720626357595,79.36304209869382,87.7266894276993,50,Chandrapur,normal,statewide,10000,agricultural_grid_sampling,,,
P031,20.511162275709236,79.64732536510962,68.57321381210129,50,Chandrapur,normal,statewide,10000,agricultural_grid_sampling,,,
