Week_Start,Week_End,Week_Number,Year,point_id,latitude,longitude,district,sampling_priority,region_type,NDVI,NDVI_Valid,Sentinel2_Images,Cloud_Probability_Threshold,Scene_Cloud_Threshold,study_area,dataset
2017-01-01,2017-01-08,1.0,2017,P061,18.507855650411397,76.91766048140843,Latur,high,priority,0.3234750032424927,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P062,18.422405896924207,76.3487594508077,Latur,high,priority,0.2518409490585327,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P063,18.235391198742693,77.05646783810116,Latur,high,priority,0.4147636890411377,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P064,18.193056493341274,76.77240080549139,Latur,high,priority,0.39360082149505615,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P065,18.331355512513895,76.44266811899327,Latur,high,priority,0.38632911443710327,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P066,18.104739537876725,76.5352970251765,Latur,high,priority,0.5225881934165955,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P067,18.280552974211986,77.0569984711265,Latur,high,priority,0.7717970013618469,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P068,18.101823285787773,76.86595720469373,Latur,high,priority,0.31722772121429443,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P069,18.595075667016793,77.20284228928156,Latur,high,priority,0.23529411852359772,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P070,18.41499041187233,77.15322587185987,Latur,high,priority,0.4712643623352051,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P071,18.149138807065885,76.63019561379593,Latur,high,priority,0.5998668670654297,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P072,18.283393421583035,76.77331492120734,Latur,high,priority,0.8738738894462585,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P073,17.966315663874607,76.86453029235662,Latur,high,priority,0.2123463898897171,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P074,18.50832831512306,76.870318205524,Latur,high,priority,0.7482556700706482,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P075,18.41444640154381,77.20053247493588,Latur,high,priority,0.2979189455509186,1,30,65,80,Maharashtra,Sentinel-2 NDVI
