Week_Start,Week_End,Week_Number,Year,point_id,latitude,longitude,district,sampling_priority,region_type,NDVI,NDVI_Valid,Sentinel2_Images,Cloud_Probability_Threshold,Scene_Cloud_Threshold,study_area,dataset
2017-01-01,2017-01-08,1.0,2017,P005,20.832153156317958,77.06560453615967,Akola,normal,statewide,0.790742814540863,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P006,20.834360411339407,76.87349308547405,Akola,normal,statewide,0.3555675148963928,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P007,21.014976299509232,76.87574047240498,Akola,normal,statewide,0.7241111397743225,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P008,20.828434266039377,77.35372489162701,Akola,normal,statewide,0.3774738609790802,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P009,21.360971327549255,77.94039543992572,Amravati,normal,statewide,0.3598311841487884,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P010,21.17880367221284,78.03301542790685,Amravati,normal,statewide,0.2641236186027527,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P011,20.814388097721015,78.21764450702477,Amravati,normal,statewide,0.5114782452583313,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P012,21.180502589714195,77.93681032267875,Amravati,normal,statewide,0.1732090264558792,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P024,18.763955201213943,75.90084720909012,Bid,normal,statewide,0.8757764101028442,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P025,20.93073496240753,76.20164478885242,Buldana,normal,statewide,0.7557293176651001,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P026,20.838939908121294,76.39311412898633,Buldana,normal,statewide,0.1134676560759544,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P027,20.657476790751318,76.48742857536776,Buldana,normal,statewide,0.282891571521759,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P028,20.47967013624516,76.10222021266374,Buldana,normal,statewide,0.7889447212219238,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P045,19.655900266732623,77.2407892392464,Hingoli,normal,statewide,0.516473114490509,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P046,19.566758377573187,77.1442675378435,Hingoli,normal,statewide,0.4979857504367828,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P047,19.47860194974656,76.9526242927685,Hingoli,normal,statewide,0.5837535262107849,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P048,19.927981235710728,77.14910120338544,Hingoli,normal,statewide,0.2635702192783355,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P053,19.486369703781666,76.00005328932718,Jalna,normal,statewide,-0.6645225882530212,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P054,20.028502750758555,76.00343774702675,Jalna,normal,statewide,0.1746880859136581,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P055,19.75743845682064,76.00172991132328,Jalna,normal,statewide,0.5676340460777283,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P056,19.57768317515413,75.80993951591351,Jalna,normal,statewide,0.3112338781356811,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P061,18.5078556504114,76.91766048140843,Latur,high,priority,0.3234750032424927,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P062,18.422405896924207,76.3487594508077,Latur,high,priority,0.2518409490585327,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P063,18.235391198742693,77.05646783810116,Latur,high,priority,0.4147636890411377,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P064,18.193056493341278,76.77240080549139,Latur,high,priority,0.3936008214950561,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P065,18.33135551251389,76.44266811899327,Latur,high,priority,0.3863291144371032,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P066,18.104739537876725,76.5352970251765,Latur,high,priority,0.5225881934165955,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P067,18.280552974211982,77.0569984711265,Latur,high,priority,0.7717970013618469,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P068,18.101823285787773,76.86595720469373,Latur,high,priority,0.3172277212142944,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P069,18.595075667016797,77.20284228928156,Latur,high,priority,0.2352941185235977,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P070,18.41499041187233,77.15322587185987,Latur,high,priority,0.4712643623352051,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P071,18.149138807065885,76.63019561379593,Latur,high,priority,0.5998668670654297,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P072,18.283393421583035,76.77331492120734,Latur,high,priority,0.8738738894462585,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P073,17.966315663874607,76.86453029235662,Latur,high,priority,0.2123463898897171,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P074,18.50832831512306,76.870318205524,Latur,high,priority,0.7482556700706482,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P075,18.41444640154381,77.20053247493588,Latur,high,priority,0.2979189455509186,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P076,18.377877313804504,76.25376722106614,Latur,high,priority,0.2730419635772705,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P077,18.059564385104267,76.5349046242838,Latur,high,priority,0.3784940838813782,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P078,18.1008824154655,76.96042326051098,Latur,high,priority,0.4561431407928467,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P079,18.73508698099394,76.77797468180819,Latur,high,priority,0.2352272719144821,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P080,18.46791548227568,76.3017694439065,Latur,high,priority,0.4556213021278381,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P081,18.10355787609756,76.67701617485712,Latur,high,priority,0.4221467971801758,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P082,18.23907887531389,76.67830931416262,Latur,high,priority,0.2641012072563171,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P083,18.369289085175563,77.19996171000103,Latur,high,priority,0.2624300420284271,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P084,18.46362582706226,76.82249880582684,Latur,high,priority,0.1685615479946136,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P085,18.14788579966987,76.77194597718393,Latur,high,priority,0.1761340349912643,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P088,21.347803602138427,78.61442869606356,Nagpur,normal,statewide,0.6060604453086853,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P089,21.165377318940912,78.70615240473293,Nagpur,normal,statewide,0.2721253037452698,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P090,19.201968238592887,77.42470040309472,Nanded,normal,statewide,0.7157190442085266,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P091,18.566038000956755,77.69963965584807,Nanded,normal,statewide,0.8606708645820618,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P092,19.736596618496836,77.90946265591798,Nanded,normal,statewide,0.2547284960746765,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P093,18.93564842817583,77.04115528508362,Nanded,normal,statewide,0.2938141524791717,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P094,21.56491723243072,74.08292967791392,Nandurbar,normal,statewide,0.5390991568565369,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P102,17.85749130266526,76.36802722645965,Osmanabad,normal,statewide,0.192227616906166,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P103,17.76644983645705,76.46164605307673,Osmanabad,normal,statewide,0.488237202167511,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P104,17.949094615606196,76.17989775301476,Osmanabad,normal,statewide,0.3484162986278534,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P105,18.584360447185368,75.61558067829696,Osmanabad,normal,statewide,0.203438401222229,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P106,19.03138978689437,76.47235681380711,Parbhani,normal,statewide,0.4057591557502746,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P107,19.120950831552832,76.56820519095093,Parbhani,normal,statewide,0.3545001447200775,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P108,19.208625676465683,76.85432786914635,Parbhani,normal,statewide,0.715519905090332,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P109,19.212081479782103,76.47396209018636,Parbhani,normal,statewide,0.2647702395915985,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P114,18.48503397121986,73.0589238755964,Raigarh,normal,statewide,0.3233215510845184,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P115,18.665689991299164,73.05687714821288,Raigarh,normal,statewide,0.2901080548763275,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P116,18.30619726437036,73.25009891506079,Raigarh,normal,statewide,0.7199826836585999,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P117,18.21404102289879,73.06194714611064,Raigarh,normal,statewide,0.2071651071310043,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P118,17.138719885658215,75.42259970290594,Sangli,normal,statewide,0.1642157584428787,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P148,17.67852974098626,76.08383979812143,Solapur,normal,statewide,0.3492990732192993,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P152,19.65817886737093,72.94986318203122,Thane,normal,statewide,0.4136291742324829,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P153,19.65706409210757,72.8545320606096,Thane,normal,statewide,0.4921217858791351,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P154,19.477549601897948,72.95214624177059,Thane,normal,statewide,0.1820191591978073,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P155,19.83987385799569,73.0429959666335,Thane,normal,statewide,0.2169673442840576,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P156,20.806749657616468,78.60135461177485,Wardha,normal,statewide,0.5389270186424255,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P157,20.71031267913359,78.88671032458906,Wardha,normal,statewide,0.5425956845283508,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P158,21.081265295769757,78.41565980750515,Wardha,normal,statewide,0.340599775314331,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P160,20.289186257444054,77.15404188735265,Washim,normal,statewide,0.2697628438472748,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P161,20.464607292886612,77.53975858757677,Washim,normal,statewide,0.3576642274856567,1,30,65,80,Maharashtra,Sentinel-2 NDVI
2017-01-01,2017-01-08,1.0,2017,P162,20.107393166596125,77.2471479173486,Washim,normal,statewide,0.2481115609407425,1,30,65,80,Maharashtra,Sentinel-2 NDVI
