point_id,Year,Week_Number,Week_Start,Week_End,Rainfall_GSMaP,GSMaP_Image_Count
P001,2017,1,2017-01-01,2017-01-08,0.0,168
P001,2017,2,2017-01-08,2017-01-15,0.0,168
P001,2017,3,2017-01-15,2017-01-22,0.0,168
P001,2017,4,2017-01-22,2017-01-29,0.0,168
P001,2017,5,2017-01-29,2017-02-05,0.0,168
P001,2017,6,2017-02-05,2017-02-12,0.0,168
P001,2017,7,2017-02-12,2017-02-19,0.0,168
P001,2017,8,2017-02-19,2017-02-26,0.0,168
P001,2017,9,2017-02-26,2017-03-05,0.0,168
P001,2017,10,2017-03-05,2017-03-12,0.0,168
P001,2017,11,2017-03-12,2017-03-19,0.0,168
P001,2017,12,2017-03-19,2017-03-26,0.0,168
P001,2017,13,2017-03-26,2017-04-02,0.0,168
P001,2017,14,2017-04-02,2017-04-09,0.0,168
P001,2017,15,2017-04-09,2017-04-16,0.0,168
P001,2017,16,2017-04-16,2017-04-23,0.0,168
P001,2017,17,2017-04-23,2017-04-30,0.0,168
P001,2017,18,2017-04-30,2017-05-07,0.0,168
P001,2017,19,2017-05-07,2017-05-14,2.8635590970516205,168
P001,2017,20,2017-05-14,2017-05-21,1.1422186568379402,168
P001,2017,21,2017-05-21,2017-05-28,0.0,168
P001,2017,22,2017-05-28,2017-06-04,17.159344643354416,168
P001,2017,23,2017-06-04,2017-06-11,29.365590408444405,168
P001,2017,24,2017-06-11,2017-06-18,46.472815342247486,168
P001,2017,25,2017-06-18,2017-06-25,12.949990175664423,168
P001,2017,26,2017-06-25,2017-07-02,19.41725654155016,168
P001,2017,27,2017-07-02,2017-07-09,9.844103179872036,168
P001,2017,28,2017-07-09,2017-07-16,38.84928378462792,168
P001,2017,29,2017-07-16,2017-07-23,26.55004535615444,168
P001,2017,30,2017-07-23,2017-07-30,21.430855460464954,168
P001,2017,31,2017-07-30,2017-08-06,0.4961110055446625,168
P001,2017,32,2017-08-06,2017-08-13,0.0,168
P001,2017,33,2017-08-13,2017-08-20,38.21411994099617,168
P001,2017,34,2017-08-20,2017-08-27,77.92159090191126,168
P001,2017,35,2017-08-27,2017-09-03,51.89766938239336,168
P001,2017,36,2017-09-03,2017-09-10,13.24479067325592,168
P001,2017,37,2017-09-10,2017-09-17,106.71633563935757,168
P001,2017,38,2017-09-17,2017-09-24,52.41692189127207,168
P001,2017,39,2017-09-24,2017-10-01,13.934189036488531,168
P001,2017,40,2017-10-01,2017-10-08,14.869686856865885,168
P001,2017,41,2017-10-08,2017-10-15,66.30776272714138,168
P001,2017,42,2017-10-15,2017-10-22,0.6364086866378784,168
P001,2017,43,2017-10-22,2017-10-29,0.0,168
P001,2017,44,2017-10-29,2017-11-05,0.0,168
P001,2017,45,2017-11-05,2017-11-12,0.0,168
P001,2017,46,2017-11-12,2017-11-19,0.0,168
P001,2017,47,2017-11-19,2017-11-26,0.0,168
P001,2017,48,2017-11-26,2017-12-03,0.0,168
P001,2017,49,2017-12-03,2017-12-10,2.374155655503273,168
P001,2017,50,2017-12-10,2017-12-17,0.0,168
P001,2017,51,2017-12-17,2017-12-24,0.0,168
P001,2017,52,2017-12-24,2017-12-31,0.0,168
P001,2018,1,2018-01-01,2018-01-08,0.0,168
