Week_Start,Week_End,Week_Number,Year,point_id,latitude,longitude,district,sampling_priority,region_type,Temperature_C,Temperature_Valid,ERA5_Days,temperature_source,study_area,dataset
2017-07-02,2017-07-09,27.0,2017,P147,17.927231643141155,73.94769852026607,Satara,case_study,case_study,22.929733621506443,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P061,18.507855650411397,76.91766048140843,Latur,high,priority,26.56568507239939,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P062,18.422405896924207,76.3487594508077,Latur,high,priority,25.76803114754813,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P063,18.235391198742693,77.05646783810116,Latur,high,priority,25.822834904988667,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P064,18.193056493341274,76.77240080549139,Latur,high,priority,25.610409309750537,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P065,18.331355512513895,76.44266811899327,Latur,high,priority,25.657447070167166,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P066,18.104739537876725,76.5352970251765,Latur,high,priority,25.46030932835174,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P067,18.280552974211986,77.0569984711265,Latur,high,priority,25.822834904988667,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P068,18.101823285787773,76.86595720469373,Latur,high,priority,25.713529659452888,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P069,18.595075667016793,77.20284228928156,Latur,high,priority,27.20063670930415,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P070,18.41499041187233,77.15322587185987,Latur,high,priority,26.811220786685055,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P071,18.149138807065885,76.63019561379593,Latur,high,priority,25.480421865554092,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P072,18.283393421583035,76.77331492120734,Latur,high,priority,25.712704231625537,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P073,17.966315663874607,76.86453029235662,Latur,high,priority,25.57863615126837,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P074,18.50832831512306,76.870318205524,Latur,high,priority,26.50661466689337,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P075,18.41444640154381,77.20053247493588,Latur,high,priority,27.06699878147674,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P076,18.377877313804504,76.25376722106614,Latur,high,priority,25.307326162429092,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P077,18.059564385104267,76.5349046242838,Latur,high,priority,25.480561374482647,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P078,18.1008824154655,76.96042326051098,Latur,high,priority,25.76921697344102,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P079,18.73508698099394,76.77797468180819,Latur,high,priority,27.139392289661203,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P080,18.46791548227568,76.3017694439065,Latur,high,priority,25.76803114754813,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P081,18.10355787609756,76.67701617485712,Latur,high,priority,25.480421865554092,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P082,18.23907887531389,76.67830931416262,Latur,high,priority,25.62941740126837,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P083,18.369289085175563,77.19996171000103,Latur,high,priority,26.39885564531602,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P084,18.46362582706226,76.82249880582684,Latur,high,priority,26.09932997567313,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P085,18.14788579966987,76.77194597718393,Latur,high,priority,25.610409309750537,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P122,17.88145897082753,73.8441448165019,Satara,high,priority,22.498627780732647,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P123,17.386414030975025,74.27088970551878,Satara,high,priority,23.425420470464815,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P124,17.43262815429294,74.647353771057,Satara,high,priority,24.386206835792166,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P125,17.56734651531964,74.31728219287884,Satara,high,priority,23.588808677310055,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P126,17.205080227535593,74.13053949986157,Satara,high,priority,23.462983249482704,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P127,17.65773249367299,74.31694330119876,Satara,high,priority,23.574950790405296,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P128,18.019949731345452,74.5517328080669,Satara,high,priority,26.169770358857704,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P129,18.063234225271252,74.03192648006461,Satara,high,priority,24.109537378946925,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P130,17.61135784271715,74.03436560834085,Satara,high,priority,23.39079900469102,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P131,17.612539504496315,74.3171127470388,Satara,high,priority,23.574950790405296,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P132,17.702176353872684,74.12817617630324,Satara,high,priority,23.31002333504813,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P133,17.25006363896275,74.08329532420031,Satara,high,priority,23.20717037745885,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P134,17.476429903940936,74.17634784498362,Satara,high,priority,23.27240242731,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P135,17.882716437324603,74.0801070669471,Satara,high,priority,22.932640057518427,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P136,17.928520323345598,74.22149178404871,Satara,high,priority,24.881870433262463,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P137,17.746687100588183,73.98648378122894,Satara,high,priority,22.95322925022674,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P138,17.61269557303319,74.36423652697161,Satara,high,priority,23.574950790405296,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P139,17.656773786946495,74.08126197411994,Satara,high,priority,23.39079900469102,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P140,17.97464080554139,74.50462240543725,Satara,high,priority,25.92488568623861,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P141,17.430826677467348,74.08239904488856,Satara,high,priority,23.154796400524276,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P142,18.064447100757786,74.31538707493111,Satara,high,priority,25.55479175022674,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P143,17.70379500755509,74.6468275971327,Satara,high,priority,25.29600268772674,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P144,17.929452275465767,74.50474726026674,Satara,high,priority,25.92488568623861,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P145,17.47773196144854,74.60017202281048,Satara,high,priority,24.045177259899276,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P146,17.839182233739812,74.55218763637436,Satara,high,priority,25.132358714512463,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P001,19.940457800458272,74.57045211428928,Ahmednagar,normal,statewide,25.64613522120885,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P002,18.946729294293643,74.76302285238339,Ahmednagar,normal,statewide,24.740873409452945,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P003,18.49469238410162,74.66892244285252,Ahmednagar,normal,statewide,26.06846362522674,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P004,19.03720445466806,75.1420731965326,Ahmednagar,normal,statewide,25.61500147864939,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P005,20.832153156317954,77.06560453615967,Akola,normal,statewide,28.272309421357647,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P006,20.834360411339407,76.87349308547405,Akola,normal,statewide,28.249418331327945,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P007,21.014976299509232,76.87574047240498,Akola,normal,statewide,27.98604872567313,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P008,20.828434266039377,77.35372489162701,Akola,normal,statewide,28.158237620762463,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P009,21.360971327549258,77.94039543992572,Amravati,normal,statewide,26.769647125970778,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P010,21.178803672212837,78.03301542790685,Amravati,normal,statewide,27.578217624482647,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P011,20.814388097721018,78.21764450702477,Amravati,normal,statewide,27.90447087969102,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P012,21.180502589714195,77.93681032267875,Amravati,normal,statewide,27.564196977161203,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P013,20.031289688916964,74.8570519162974,Aurangabad,normal,statewide,25.58955272492915,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P014,19.760185263069562,75.14270192978114,Aurangabad,normal,statewide,26.32726431347072,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P015,19.9408189876436,74.76157364454102,Aurangabad,normal,statewide,25.881649544125594,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P016,19.66981712112043,75.14262166596218,Aurangabad,normal,statewide,26.621802538917223,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P017,21.04613203856966,79.85576216552393,Bhandara,normal,statewide,27.79517725989939,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P018,21.31897105472685,79.76852877161537,Bhandara,normal,statewide,27.963866806030296,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P019,21.40900922319803,79.77144948280537,Bhandara,normal,statewide,27.766717438470778,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P020,21.144196588937042,79.57074980349083,Bhandara,normal,statewide,27.978829138619574,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P021,18.67502288980403,75.52108340877234,Bid,normal,statewide,24.939278357369574,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P022,18.856499384477168,75.04699178476999,Bid,normal,statewide,25.291445396060055,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P023,19.126596053486494,75.6175605191647,Bid,normal,statewide,26.879312769571982,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P024,18.763955201213946,75.90084720909012,Bid,normal,statewide,25.437732133411203,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P025,20.93073496240753,76.20164478885242,Buldana,normal,statewide,28.29015493847072,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P026,20.838939908121294,76.39311412898633,Buldana,normal,statewide,28.612397311982647,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P027,20.657476790751314,76.48742857536776,Buldana,normal,statewide,28.19875333876837,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P028,20.47967013624516,76.10222021266374,Buldana,normal,statewide,26.223423167637463,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P029,20.32317798477448,79.92829390325927,Chandrapur,normal,statewide,27.88779956272674,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
2017-07-02,2017-07-09,27.0,2017,P030,20.60872097983294,79.36304041732026,Chandrapur,normal,statewide,28.097865131923072,1,7,ERA5-Land Daily Aggregated,Maharashtra,ERA5-Land Temperature
