point_id,district,records,ndvi_available,ndvi_mean,rainfall_mean,temperature_mean,ndvi_coverage_percent
P001,Ahmednagar,468,263,0.34029221469571835,14.749653313340955,25.375703025727848,56.1965811965812
P002,Ahmednagar,468,256,0.2579629404681327,14.746067160360665,25.554518594924268,54.700854700854705
P003,Ahmednagar,468,266,0.06207420219863322,15.031940467338206,26.320271006123463,56.837606837606835
P004,Ahmednagar,468,269,0.22695146147923395,13.190768123176133,25.423110946854028,57.47863247863248
P005,Akola,468,276,0.369099786012447,16.725676332524472,26.84352328914137,58.97435897435898
P006,Akola,468,271,0.36473651663348683,15.652741181197353,26.814826382026492,57.90598290598291
P007,Akola,468,266,0.4102854755868141,16.27416445361818,26.85544193735152,56.837606837606835
P008,Akola,468,271,0.3069538073030015,17.893542796334504,26.813240585823998,57.90598290598291
P009,Amravati,468,278,0.2972579568544094,23.011690395985433,25.889410548041322,59.401709401709404
P010,Amravati,468,272,0.32597057318643613,21.602797475007563,26.45658558762847,58.119658119658126
P011,Amravati,468,268,0.3908263866914742,23.91051573837975,26.87854527173415,57.26495726495726
P012,Amravati,468,281,0.17853468544557488,21.18961741207857,26.555077773339896,60.04273504273504
P013,Aurangabad,468,276,0.4192216829869194,14.793812353397534,25.40328659396083,58.97435897435898
P014,Aurangabad,468,270,0.26731686679025485,14.579176803628922,25.901581062531175,57.692307692307686
P015,Aurangabad,468,268,0.3262734681701482,14.566355728518037,25.54490214213155,57.26495726495726
P016,Aurangabad,468,270,0.4376540729293117,14.461775747785358,25.981521616226612,57.692307692307686
P017,Bhandara,468,273,0.2861058265243694,27.723701074438978,26.754671851046766,58.333333333333336
P018,Bhandara,468,279,0.5041366282543401,25.52925885372743,26.819052489035805,59.61538461538461
P019,Bhandara,468,281,0.3779342241346624,26.23448289688089,26.59758154326066,60.04273504273504
P020,Bhandara,468,271,0.43007215662306086,27.307267621849228,26.814033372139246,57.90598290598291
P021,Bid,468,265,0.4013696739133799,14.904526303035091,25.254442093553823,56.623931623931625
P022,Bid,468,261,0.25905507377623593,12.59131723298205,25.79206061652391,55.769230769230774
P023,Bid,468,273,0.3728545604225917,16.744303976079802,26.33688575937152,58.333333333333336
P024,Bid,468,313,0.4226169036790586,17.739955829087105,25.134906168414872,66.88034188034187
P025,Buldana,468,328,0.4335230992661176,16.74835928624069,26.534409833604577,70.08547008547008
P026,Buldana,468,337,0.22781247179126168,16.23486227271713,26.86917892148645,72.00854700854701
P027,Buldana,468,262,0.3414399380162927,16.993004088946392,26.76182242887605,55.98290598290598
P028,Buldana,468,331,0.43394747620667934,18.184573298026297,25.47999466914302,70.72649572649573
P029,Chandrapur,468,273,0.39858647285800275,27.493672624496835,27.19073463085955,58.333333333333336
P030,Chandrapur,468,268,0.3477846702366178,25.28612866927547,27.124398582467833,57.26495726495726
P031,Chandrapur,468,278,0.4279860690664902,27.630121165816583,27.191822904836005,59.401709401709404
P032,Chandrapur,468,269,0.3942388411902141,26.116854384574875,27.21628071292418,57.47863247863248
P033,Dhule,468,272,0.4107825224945212,16.170941284743808,26.251515660268506,58.119658119658126
P034,Dhule,468,283,0.3023493855717746,16.25669825566942,27.02557310058571,60.470085470085465
P035,Dhule,468,269,0.36473897002554295,16.589336045864393,26.342099210019537,57.47863247863248
P036,Dhule,468,280,0.35960322597197125,17.41118156812677,26.11631315073738,59.82905982905983
P037,Garhchiroli,468,274,0.40569788135968854,29.429214715453856,27.48163663160042,58.54700854700855
P038,Garhchiroli,468,253,0.3791993442083536,29.508630443339335,27.90431748445705,54.059829059829056
P039,Garhchiroli,468,259,0.44181526704011737,30.476669865151443,27.92986249834435,55.34188034188035
P040,Garhchiroli,468,275,0.38872457379644565,29.86305488206711,27.386498025902725,58.76068376068376
P041,Gondiya,468,275,0.41242565512657164,27.119263659147784,26.657582828054426,58.76068376068376
P042,Gondiya,468,277,0.3621733116544111,28.84981482424207,26.313202752473178,59.18803418803419
P043,Gondiya,468,278,0.4069257273854648,28.389408941700044,26.06908252220793,59.401709401709404
P044,Gondiya,468,266,0.3789788878949961,27.488608252755895,26.39885122355866,56.837606837606835
P045,Hingoli,468,267,0.36125653049619066,22.199956734589183,26.557842141765885,57.05128205128205
P046,Hingoli,468,262,0.34015768860246387,21.76184687274682,26.474552429814064,55.98290598290598
P047,Hingoli,468,277,0.3972247448558196,21.02062855817775,26.7972583674492,59.18803418803419
P048,Hingoli,468,275,0.29777754575691434,21.007226889095246,26.267017000110666,58.76068376068376
P049,Jalgaon,468,281,0.5639011319527847,18.983889105699163,26.918704864383976,60.04273504273504
P050,Jalgaon,468,265,0.10390921992794519,18.195337368557468,25.047882307221087,56.623931623931625
P051,Jalgaon,468,273,0.5282678840282772,17.829134683274614,26.565212118252074,58.333333333333336
P052,Jalgaon,468,265,0.5077703264805505,15.806032342639996,26.943036751752977,56.623931623931625
P053,Jalna,468,333,0.0070944061557351055,17.913106381832026,26.409718288441837,71.15384615384616
P054,Jalna,468,329,0.24517126784498564,18.303561085392676,25.879578745729056,70.2991452991453
P055,Jalna,468,337,0.45950509804557976,16.865951794941356,26.210568522824786,72.00854700854701
P056,Jalna,468,330,0.38250704446073736,17.407063945027513,26.314580154729484,70.51282051282051
P057,Kolhapur,468,241,0.32586719009144177,22.346177644448836,24.77146287839688,51.49572649572649
P058,Kolhapur,468,237,0.49290623490694707,28.10171765081539,24.55068023628855,50.641025641025635
P059,Kolhapur,468,247,0.5116846421469561,18.472041006165814,24.8806566857108,52.77777777777778
