column,dtype,non_null,missing,unique_values
Week_Start,datetime64[us],78156,0,468
Week_End,datetime64[us],78156,0,468
Week_Number,float64,78156,0,52
Year,int64,78156,0,9
point_id,str,78156,0,167
latitude,float64,78156,0,167
longitude,float64,78156,0,167
district,str,78156,0,31
sampling_priority,str,78156,0,3
region_type,str,78156,0,3
NDVI,float64,45181,32975,44159
NDVI_Valid,float64,45181,32975,1
Sentinel2_Images,float64,45181,32975,94
Cloud_Probability_Threshold,float64,45181,32975,1
Scene_Cloud_Threshold,float64,45181,32975,1
Rainfall_mm,float64,78156,0,41051
Rainfall_Valid,int64,78156,0,1
CHIRPS_Days,int64,78156,0,1
rainfall_source,str,78156,0,1
Temperature_C,float64,78156,0,74392
Temperature_Valid,int64,78156,0,1
ERA5_Days,int64,78156,0,1
temperature_source,str,78156,0,1
study_area,str,78156,0,1
dataset,str,78156,0,1
