feature,count,mean,std,min,25%,50%,75%,max
NDVI,33655.0,0.35836302513765533,0.21051311704669165,-1.0,0.18703502416610715,0.3154121935367584,0.5150928199291229,0.969539225101471
Rainfall_Current,33655.0,3.4930746538005297,11.860815871258978,0.0,0.0,0.0,0.7401677258312702,332.2620521634817
Temperature_Current,33655.0,26.35500557370099,4.1143058221066395,15.344437353951603,23.16982794262117,25.652929741995703,29.42976046062654,38.939721134730746
NDVI_lag_1,28062.0,0.35749996397894684,0.20860826018776416,-1.0,0.18880139291286466,0.3140347748994827,0.5116663873195648,0.969539225101471
NDVI_lag_2,27618.0,0.36429712784726825,0.2095661914907106,-1.0,0.19447434321045873,0.32380515336990356,0.5206134170293808,0.969539225101471
NDVI_lag_3,27217.0,0.3707312194664602,0.20995501718077697,-1.0,0.1997697204351425,0.3328038156032562,0.5284280776977539,0.969539225101471
NDVI_lag_4,26719.0,0.3766896739303319,0.20938064390227984,-1.0,0.20485774427652353,0.3403403460979461,0.5341046154499054,0.9629963636398317
NDVI_lag_8,23867.0,0.39899688792902455,0.20923682306820088,-1.0,0.22885841876268387,0.3721633851528168,0.5582813322544098,0.969539225101471
NDVI_change_1w,28062.0,-0.01126573943977698,0.07555665539969093,-1.1309904158115387,-0.039662107825279236,-0.009181320667266853,0.017425745725631728,0.818862572312355
NDVI_change_2w,27618.0,-0.022207863237299848,0.09714021014834974,-1.1937194466590881,-0.059763096272945446,-0.01805394142866136,0.014911763370037079,1.2336719930171967
NDVI_change_4w,26719.0,-0.04175450290578447,0.14035242630202036,-1.3271915316581726,-0.09980407357215884,-0.03294634819030762,0.012013740837574005,1.1760730147361755
Rainfall_lag_1,33652.0,5.378155640709575,17.733928941060014,0.0,0.0,0.0,1.5132466424256563,379.4047539830208
Rainfall_lag_2,33652.0,7.1070370769778455,21.297495830666918,0.0,0.0,0.0,1.9623651951551435,564.1337406486273
Rainfall_lag_4,33629.0,8.386002372754795,24.845354812792984,0.0,0.0,0.0,3.2847010865807533,621.6352688968182
Rainfall_rolling_2w,33652.0,12.48519271768742,33.93216470620584,0.0,0.0,0.0,6.218141095712781,724.4453535079956
Rainfall_rolling_4w,33629.0,28.704057374032345,66.8652916202831,0.0,0.0,2.2542836666107178,20.63480031490326,1234.169571571052
Rainfall_rolling_8w,33531.0,73.98805247322012,144.03242520573576,0.0,0.8640889972448349,11.50202649831772,77.7051851451397,2398.1370574757457
Temperature_lag_1,33652.0,26.149128124604385,3.962153054394097,15.344437353951603,23.1636428424291,25.370161038353363,28.831190953935902,38.939721134730746
Temperature_lag_2,33652.0,25.894146264050082,3.869465949908531,15.344437353951603,23.03370971225563,25.175242451259066,28.34884837014341,38.81324112301781
Temperature_lag_4,33629.0,25.447010398556625,3.5259994949025613,15.344437353951603,22.947351437523253,24.90225890023368,27.36148777916316,38.28636594499864
Temperature_rolling_2w,33652.0,26.021637194327234,3.850002921513644,16.728200122288285,23.095721555891508,25.247726603916746,28.62593385605588,38.749708202907044
Temperature_rolling_4w,33629.0,25.78483304761353,3.6202606826950943,17.476158850533636,23.06813742319744,25.006872249784905,28.15598579134263,38.260472756340434
Temperature_rolling_8w,33531.0,25.373926290919925,3.1087759301982585,18.253060209183495,23.06454686210271,24.72997666994734,27.053430130368213,37.32530695370269
Week_Of_Year,33655.0,21.983271430693804,16.911634308578478,1.0,8.0,16.0,42.0,53.0
Month,33655.0,5.373733471995246,3.8807213541707752,1.0,2.0,4.0,10.0,12.0
Day_Of_Year,33655.0,147.69009062546428,117.58901189711776,1.0,50.0,106.0,288.0,351.0
Year_Index,33655.0,4.62567226266528,2.2240107690890047,0.0,3.0,5.0,7.0,8.0
Week_Sin,33655.0,0.29116886436406847,0.6794995208810508,-1.0,-0.35460488704253595,0.5680647467311558,0.8854560256532099,1.0
Week_Cos,33655.0,0.31407785096494567,0.5957184409905324,-1.0,-0.12053668025532288,0.4647231720437686,0.8229838658936564,1.0
Month_Sin,33655.0,0.3521619941202248,0.6310167535828254,-1.0,-2.4492935982947064e-16,0.49999999999999994,0.8660254037844387,1.0
Month_Cos,33655.0,0.2475945926681349,0.6453843132319986,-1.0,-0.4999999999999998,0.5000000000000001,0.8660254037844384,1.0
Latitude,33655.0,19.275909897578366,1.384735317586917,16.324417,18.10474,19.126596,20.598621,21.574549
Latitude,33655.0,19.275909897578366,1.384735317586917,16.324417,18.10474,19.126596,20.598621,21.574549
Longitude,33655.0,76.15195902311692,1.9196036021092764,72.854532,74.504622,76.10222,77.199962,80.341532
Longitude,33655.0,76.15195902311692,1.9196036021092764,72.854532,74.504622,76.10222,77.199962,80.341532
NDVI_next_week,33655.0,0.3477208157565105,0.20824511695853534,-1.0,0.18035496771335602,0.3024913668632507,0.5004896819591522,0.9629963636398317
