,count,mean,std,min,25%,50%,75%,max
NDVI,18081.0,0.3542689454583671,0.207031404904926,-1.0,0.1920318752527237,0.3106622397899627,0.5037304759025574,0.9629963636398317
Rainfall_mm,18081.0,3.1808610872466723,9.585048937547521,0.0,0.0,0.0,2.2068801522254944,206.28686714172363
Temperature_C,18081.0,26.47295145580337,4.01673102001857,15.344437353951603,23.30819209870845,26.005113765171643,29.582442401704327,37.09497440883092
NDVI_lag_1,18081.0,0.3660094599828346,0.2097484140829272,-1.0,0.1996533721685409,0.3257703781127929,0.5215593576431274,0.969539225101471
Rainfall_mm_lag_1,18081.0,3.431034092383735,10.449536528018733,0.0,0.0,0.0,2.254200458526612,206.28686714172363
Rainfall_mm_lag_2,18081.0,5.437197212019967,16.103154281226438,0.0,0.0,0.0,3.182133674621582,286.38037109375
Rainfall_mm_lag_3,18081.0,7.103468175495829,19.98639536660237,0.0,0.0,0.0,3.358132123947144,286.38037109375
Temperature_C_lag_1,18081.0,26.21241166371708,3.9049233034800888,15.344437353951603,23.21421040126256,25.634062794276645,28.99379510425388,37.09497440883092
Temperature_C_lag_2,18081.0,25.904839583692876,3.7497048391545187,15.344437353951603,23.10060244968963,25.29695963178364,28.41706047058108,37.09497440883092
Temperature_C_lag_3,18081.0,25.603721737251266,3.6019654792558455,15.344437353951603,22.956905619303427,25.01206886654813,27.83392722720197,36.60678616478339
Rainfall_mm_rolling_3w,18081.0,4.016364130550126,9.116381518047191,0.0,0.0,0.9278504848480225,3.401907920837403,142.50259145100912
Rainfall_mm_rolling_4w,18081.0,4.788140141786551,10.22635645780666,0.0,0.0,1.185744047164917,3.997717380523682,121.69167137145996
Temperature_C_rolling_3w,18081.0,26.196734234404442,3.7811300279928957,17.024541685316304,23.18106143890867,25.56312871054998,29.06736066303559,36.065307235717775
Temperature_C_rolling_4w,18081.0,26.048481110116146,3.6693664693834354,17.476158850533636,23.138842564537427,25.395864718300984,28.809179946354476,36.067320691971574
Month,18081.0,4.901941264310603,3.7018377840029744,1.0,2.0,4.0,8.0,12.0
Quarter,18081.0,2.023284110392124,1.2092288323099365,1.0,1.0,2.0,3.0,4.0
Week_of_Year,18081.0,19.9634422874841,16.031879943465235,1.0,8.0,14.0,35.0,51.0
Monsoon_Season,18081.0,0.029589071400918092,0.16945544073246352,0.0,0.0,0.0,0.0,1.0
Week_Sin,18081.0,0.39941547896698903,0.6383079607606862,-1.0,-0.12053668025532363,0.6631226582407952,0.9350162426854148,1.0
Week_Cos,18081.0,0.30169896590321227,0.5848499020847356,-1.0,-0.12053668025532288,0.4647231720437686,0.8229838658936564,0.992708874098054
latitude,18081.0,19.267545589108003,1.391571684778717,16.324416687682138,18.10355787609756,19.12659605348649,20.598621115946884,21.57454889070615
longitude,18081.0,76.11114163042345,1.934978553837823,72.8545320606096,74.39111598812178,76.00343774702675,77.15404188735265,80.34153217518526
NDVI_next_week,18081.0,0.34289309347031494,0.20314575489402178,-1.0,0.1847486943006515,0.2964641749858856,0.4849192500114441,0.9608883261680604
