,NDVI_next_week
NDVI_next_week,1.0
NDVI,0.934660145532277
NDVI_lag_1,0.8888153972750878
Week_Cos,0.3237954240562427
Quarter,0.24354524551589557
Month,0.22506670429462936
Week_of_Year,0.22449434282293382
Rainfall_mm_rolling_4w,0.20357855196110988
Rainfall_mm_lag_3,0.2021974095044279
Rainfall_mm_lag_2,0.1784791279284216
Rainfall_mm_rolling_3w,0.1567240972064089
Rainfall_mm_lag_1,0.10053011992578469
Rainfall_mm,0.03773584241785575
longitude,0.018223413484669465
latitude,0.007637128684688173
Monsoon_Season,-0.026808882922598854
Temperature_C_lag_3,-0.27657883162752317
Temperature_C_lag_2,-0.30182014270121965
Temperature_C_lag_1,-0.3243534998319445
Temperature_C_rolling_4w,-0.3255205809202852
Temperature_C_rolling_3w,-0.3333738668141452
Temperature_C,-0.3443790033445276
Week_Sin,-0.3768188829007479
