,correlation
NDVI,0.933769563140559
NDVI_lag_1,0.8915279021782344
NDVI_lag_2,0.8354946154858196
NDVI_lag_3,0.7728272155265127
NDVI_lag_4,0.7022033925988015
NDVI_lag_8,0.46050361856111166
Month_Cos,0.35869968754517934
Rainfall_rolling_8w,0.3301728193591252
Week_Cos,0.2998275856235537
NDVI_change_4w,0.291290669956655
Week_Of_Year,0.2741988474048283
Rainfall_rolling_4w,0.269475992648396
Month,0.2690779242436996
Day_Of_Year,0.26794764527549514
Rainfall_lag_4,0.23312518543595165
Rainfall_rolling_2w,0.20987693743057262
Rainfall_lag_2,0.2060167148455948
NDVI_change_2w,0.1585201823715075
Rainfall_lag_1,0.15408054870799173
NDVI_change_1w,0.09134940966724857
Rainfall_Current,0.07534062298398274
Year_Index,0.039629401997104324
Longitude,0.028287852815395805
Latitude,0.010657136695236826
Temperature_lag_4,-0.25007474190907364
Temperature_rolling_8w,-0.25659831742472605
Temperature_rolling_4w,-0.31030070385907454
Temperature_lag_2,-0.31508282842917856
Temperature_rolling_2w,-0.3319085269236194
Temperature_lag_1,-0.33731541974954
Temperature_Current,-0.35688504327873516
Month_Sin,-0.38193910789647884
Week_Sin,-0.4223202898006937
