,correlation
NDVI,0.9337695631405613
NDVI_lag_1,0.8915279021782312
NDVI_lag_2,0.8354946154858193
NDVI_lag_3,0.772827215526518
NDVI_lag_4,0.7022033925988057
NDVI_lag_8,0.4605036185611142
Month_Cos,0.35869968754517584
Week_Cos,0.2998275856235561
Rainfall_rolling_8w,0.29672909929153235
NDVI_change_4w,0.29129066995665664
Week_Of_Year,0.27419884740482425
Month,0.2690779242436998
Day_Of_Year,0.2679476452754948
Rainfall_rolling_4w,0.24405741123090086
Rainfall_lag_4,0.20945088829913514
Rainfall_rolling_2w,0.19134475678406393
Rainfall_lag_2,0.1884885613983236
NDVI_change_2w,0.1585201823715074
Rainfall_lag_1,0.13975512480024666
NDVI_change_1w,0.0913494096672464
Rainfall_Current,0.0664203992163776
Year_Index,0.03962940199710316
Longitude,0.028287852815400832
Longitude,0.028287852815400832
Latitude,0.010657136695244127
Latitude,0.010657136695244127
Temperature_lag_4,-0.25007474190907425
Temperature_rolling_8w,-0.25659831742472644
Temperature_rolling_4w,-0.3103007038590761
Temperature_lag_2,-0.3150828284291748
Temperature_rolling_2w,-0.3319085269236162
Temperature_lag_1,-0.33731541974954476
Temperature_Current,-0.3568850432787297
Month_Sin,-0.38193910789647706
Week_Sin,-0.42232028980069636
