feature,importance
NDVI,0.4723688711240009
NDVI_lag_1,0.16595385868458246
NDVI_lag_2,0.0981228121879701
NDVI_lag_3,0.0641194352836804
Week_Sin,0.025631130291770013
NDVI_lag_4,0.025281283694304393
Week_Of_Year,0.01663792346764894
Month,0.01604319951786326
NDVI_change_4w,0.014863132593225964
Day_Of_Year,0.011772824893687419
NDVI_change_2w,0.01053838662605776
NDVI_lag_8,0.008473736180451852
NDVI_change_1w,0.008309219603796774
Month_Sin,0.006622846771634303
Month_Cos,0.0052132617256489535
Temperature_Current,0.00412953055495529
Latitude,0.003678381434032383
Longitude,0.0036618273395133422
Temperature_lag_1,0.0033871769145215045
Week_Cos,0.0033102875905277533
Year_Index,0.003190884097871955
Rainfall_Current,0.0031808462165463032
Temperature_rolling_4w,0.002944770343055661
Temperature_rolling_2w,0.002850223835104788
Temperature_lag_2,0.0024899892387918805
Rainfall_rolling_4w,0.002367040115748022
Rainfall_rolling_8w,0.0023404669719785734
Temperature_rolling_8w,0.002282196550511721
Temperature_lag_4,0.0022416373032203727
Rainfall_rolling_2w,0.00201835044736931
Rainfall_lag_1,0.0020032195979101286
Rainfall_lag_4,0.0019957638917849248
Rainfall_lag_2,0.00197548491023266
