Month,Samples,MAE,RMSE,R2
1,1443,0.05000938702644862,0.07309957087760441,0.8685285140903914
2,1260,0.034611069081256475,0.052219108915136744,0.9111321282724476
3,1216,0.031241414738112438,0.04640161522295306,0.9203760585593147
4,1491,0.029531260788515413,0.048431127726128516,0.9087699385848798
5,535,0.0387537387034008,0.060125741827484695,0.8601772975900686
6,116,0.04944230206055534,0.0701698001636188,0.7658315686473576
7,4,0.04351332552816195,0.054961776501116374,0.6421752254273789
8,10,0.14125771020338176,0.17656523196779214,0.2688763162364064
9,134,0.08163147272686931,0.1307527498990162,0.7208272960734785
10,601,0.0672404654004201,0.10169179743899806,0.799426256234794
11,985,0.056630394609223665,0.08842661573798592,0.8397581709109025
12,689,0.04791058021930853,0.07378096188374089,0.87672078895202
