Feature,Importance
NDVI,0.45551752859698424
NDVI_lag_1,0.16688551702391266
NDVI_lag_2,0.09775818390378024
NDVI_lag_3,0.06657056917608455
Week_Sin,0.023731680865666613
NDVI_lag_4,0.022944335080729447
Week_Of_Year,0.018509685429823116
NDVI_change_4w,0.01603444698507203
Month,0.01549246374696635
Day_Of_Year,0.01248209661357529
NDVI_change_2w,0.011716449267717435
NDVI_lag_8,0.008787637218770968
NDVI_change_1w,0.008669359562639315
Month_Sin,0.006254575226730643
Month_Cos,0.005097467137386401
Temperature_Current,0.004958622691097088
Longitude,0.004635986764991954
Latitude,0.004544887988103365
Temperature_lag_1,0.004351160004456782
Year_Index,0.004212511090958998
Temperature_lag_2,0.0037822008825079555
Week_Cos,0.003559906156238993
Rainfall_rolling_8w,0.0034528742087234594
Temperature_rolling_4w,0.0034516470692711482
Temperature_rolling_2w,0.0034243393526761823
Rainfall_Current,0.003186440212495696
Rainfall_rolling_4w,0.0030896358244933107
Rainfall_rolling_2w,0.002972636368629783
Temperature_lag_4,0.002955927099877822
Temperature_rolling_8w,0.0029481980120112674
Rainfall_lag_4,0.0027891693879066697
Rainfall_lag_1,0.0027240136607139683
Rainfall_lag_2,0.00250784738900646
