point_id,district,Year,Week_Number,Week_Start,Latitude,Longitude,NDVI,NDVI_next_week,Rainfall_Current,Temperature_Current,NDVI_change_1w,NDVI_change_2w,NDVI_change_4w
P003,Ahmednagar,2018,44.0,2018-10-29,18.494692,74.668922,-1.0,-1.0,12.459257125854492,27.219482312883656,,,
P053,Jalna,2021,40.0,2021-10-01,19.48637,76.000053,-0.2761756777763366,-1.0,52.03860855102539,25.82823978605728,,,
P003,Ahmednagar,2022,45.0,2022-11-05,18.494692,74.668922,-0.5,-1.0,0.0,24.060416521344905,0.5,0.0575221180915832,
P003,Ahmednagar,2022,43.0,2022-10-22,18.494692,74.668922,-0.5575221180915833,-1.0,0.0,22.015415264311287,,,
P053,Jalna,2022,47.0,2022-11-19,19.48637,76.000053,-0.7592436075210571,-1.0,0.0,21.74777419680646,-0.1706604361534118,-0.3433539569377899,-0.4272931516170502
P053,Jalna,2022,48.0,2022-11-26,19.48637,76.000053,-1.0,-1.0,0.0,22.29042605445494,-0.2407563924789428,-0.4114168286323547,-0.2898229956626892
P053,Jalna,2024,40.0,2024-09-30,19.48637,76.000053,-0.0840490832924842,-1.0,6.8846076130867,26.0591411408924,,0.7504832968115808,
P003,Ahmednagar,2023,40.0,2023-10-01,18.494692,74.668922,-0.5770114660263062,-1.0,24.34315299987793,25.109136109125075,,,-0.7778512090444565
P003,Ahmednagar,2025,45.0,2025-11-05,18.494692,74.668922,-0.2857142984867096,-1.0,0.0,22.189490345546176,,,
P053,Jalna,2024,47.0,2024-11-18,19.48637,76.000053,-0.6353638172149658,-1.0,0.0,22.34750328063967,-0.2014462947845459,0.0342990756034851,-0.3054215610027313
P003,Ahmednagar,2024,43.0,2024-10-21,18.494692,74.668922,0.1309904158115387,-1.0,0.0,24.408020455496683,,,
P003,Ahmednagar,2024,47.0,2024-11-18,18.494692,74.668922,-0.2973702549934387,-1.0,1.8168182373046875,22.9426483699254,-0.5310422480106354,-0.1162328273057938,-0.4283606708049774
P003,Ahmednagar,2025,47.0,2025-11-19,18.494692,74.668922,-0.2598442733287811,-1.0,4.608685314655304,23.871456673031787,0.7401557266712189,0.0258700251579285,
P053,Jalna,2025,46.0,2025-11-12,19.48637,76.000053,-0.7760000228881836,-0.926767647266388,0.0,19.882758076985738,-0.3421775996685028,-0.1406209468841552,-0.1373978853225708
P053,Jalna,2025,40.0,2025-10-01,19.48637,76.000053,-0.3672075271606445,-0.9195046424865724,3.4366268515586853,24.9144113449824,0.2906903624534607,,-0.2362171113491057
P053,Jalna,2025,47.0,2025-11-19,19.48637,76.000053,-0.926767647266388,-0.9039999842643738,3.3956529339775443,22.34519411722817,-0.1507676243782044,-0.4929452240467072,
P053,Jalna,2017,46.0,2017-11-12,19.48637,76.000053,-0.0247930567711591,-0.8652482032775879,0.0,23.551538358415883,0.1854484844952822,0.218546973541379,
P053,Jalna,2021,49.0,2021-12-03,19.48637,76.000053,-0.4854651093482971,-0.8627563714981079,0.0,22.66721841721312,,-0.4090371131896973,0.0043308138847351
P053,Jalna,2025,48.0,2025-11-26,19.48637,76.000053,-0.9039999842643738,-0.8465608358383179,3.33432425186038,21.489424641927087,0.0227676630020142,-0.1279999613761901,-0.2686209082603454
P053,Jalna,2024,37.0,2024-09-09,19.48637,76.000053,-0.862581729888916,-0.8345323801040649,9.209894582629204,24.772535396757632,,,-1.3271915316581726
