Feature,Importance
NDVI,0.40437139865550004
NDVI_rolling_mean_4,0.1340249889096885
sin_week,0.10966304853780562
week_of_year,0.05590846796223906
Week_Number,0.04685880993566473
LST_C,0.036727420700785635
LST_C_lag_3,0.030852267480702942
LST_rolling_mean_4,0.022840891470576906
month,0.021348458649202814
Rainfall_mm_lag_1,0.014523126699811288
Rainfall_mm_lag_2,0.012916055863774967
NDVI_rolling_std_4,0.012789679711292872
NDVI_lag_1,0.012741358197370909
LST_C_lag_4,0.011314135441385913
LST_C_lag_1,0.009621576277641347
NDVI_lag_4,0.0085534613453761
Temperature_C,0.005726355983541169
Rainfall_mm_lag_3,0.005031520919100726
cos_week,0.004766127236255045
Rainfall_mm,0.004614463929260131
Rainfall_mm_lag_4,0.00401784739799777
Rainfall_rolling_mean_4,0.003984729779058854
LST_C_lag_2,0.003630817607903511
Sentinel2_Images,0.0035184388478166468
Temperature_C_lag_4,0.0033095934061604026
Temperature_C_lag_1,0.003064696514339897
Temperature_rolling_mean_4,0.0029335670617318143
NDVI_lag_2,0.002205807936045106
Temperature_C_lag_2,0.0021834664721202685
NDVI_lag_3,0.0020104786160239133
Temperature_C_lag_3,0.0017041606878876912
Rainfall_rolling_sum_4,0.0014424503910214076
Year,0.0005759599636026184
MODIS_LST_Images,0.0002243714113133866
CHIRPS_Images,0.0
ERA5_Images,0.0
