Run,MAE,RMSE,R2,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators
206,0.047103860945160746,0.07018442979254895,0.8924412578993979,30.0,0.8,2,8,500
125,0.04709852593810263,0.07020020421258656,0.8923929033725788,20.0,0.8,2,8,500
47,0.0471092973821773,0.07021758549158036,0.8923396106354852,,0.8,4,2,500
50,0.0471092973821773,0.07021758549158036,0.8923396106354852,,0.8,4,4,500
53,0.0471092973821773,0.07021758549158036,0.8923396106354852,,0.8,4,8,500
293,0.047114244842257395,0.07022940535302002,0.8923033622233615,40.0,0.8,4,4,500
290,0.047114244842257395,0.07022940535302004,0.8923033622233614,40.0,0.8,4,2,500
296,0.047114244842257395,0.07022940535302004,0.8923033622233614,40.0,0.8,4,8,500
54,0.04711399494623551,0.07023487682661557,0.892286580584356,,0.8,4,8,700
48,0.04711399494623551,0.07023487682661557,0.892286580584356,,0.8,4,2,700
51,0.04711399494623551,0.07023487682661557,0.892286580584356,,0.8,4,4,700
297,0.04711627856587674,0.07024064409834845,0.8922688902831192,40.0,0.8,4,8,700
291,0.04711627856587674,0.07024064409834845,0.8922688902831192,40.0,0.8,4,2,700
294,0.04711627856587674,0.07024064409834845,0.8922688902831192,40.0,0.8,4,4,700
52,0.04714317408080238,0.07024763612305465,0.8922474412750251,,0.8,4,8,300
49,0.04714317408080238,0.07024763612305465,0.8922474412750251,,0.8,4,4,300
46,0.04714317408080238,0.07024763612305465,0.8922474412750251,,0.8,4,2,300
126,0.047117241815324826,0.07025599525366552,0.8922217956774708,20.0,0.8,2,8,700
180,0.0473208568834128,0.07025802597965265,0.892215565001705,30.0,0.6,2,8,700
93,0.047362739694613215,0.07026349268069468,0.8921987911684413,20.0,0.6,2,2,700
96,0.047362739694613215,0.07026349268069468,0.8921987911684413,20.0,0.6,2,4,700
207,0.047117676425677144,0.0702651927462752,0.8921935744809459,30.0,0.8,2,8,700
295,0.04715075588668293,0.07026738198070241,0.89218685658249,40.0,0.8,4,8,300
289,0.04715075588668293,0.07026738198070241,0.89218685658249,40.0,0.8,4,2,300
292,0.047150755886682924,0.07026738198070241,0.89218685658249,40.0,0.8,4,4,300
179,0.0473026895253629,0.07026916361981603,0.8921813892790835,30.0,0.6,2,8,500
205,0.0471842394428446,0.07028290233257523,0.8921392247319629,30.0,0.8,2,8,300
