Feature,Importance
NDVI,0.35783854
LST_rolling_mean_4,0.22021231
NDVI_rolling_mean_4,0.07918146
LST_C_lag_3,0.06860285
Week_Number,0.042156152
Rainfall_mm_lag_1,0.036272347
NDVI_rolling_std_4,0.034313772
Temperature_C_lag_3,0.026280524
NDVI_lag_4,0.01950273
Temperature_rolling_mean_4,0.017149558
Rainfall_mm_lag_4,0.014306007
Rainfall_mm,0.012373052
Rainfall_mm_lag_3,0.011933952
LST_C_lag_2,0.011312487
Temperature_C_lag_4,0.008598036
Temperature_C,0.006009593
cos_week,0.0054873815
LST_C_lag_4,0.005077602
NDVI_lag_2,0.0041907495
Rainfall_rolling_sum_4,0.0035734484
LST_C,0.0031290678
LST_C_lag_1,0.0026588812
sin_week,0.0023246312
Year,0.0019846612
NDVI_lag_1,0.0013134924
Rainfall_mm_lag_2,0.0012440344
Temperature_C_lag_2,0.0011079673
NDVI_lag_3,0.00085889304
Temperature_C_lag_1,0.00052819645
MODIS_LST_Images,0.00028206856
Sentinel2_Images,0.00019563841
ERA5_Images,0.0
CHIRPS_Images,0.0
Rainfall_rolling_mean_4,0.0
week_of_year,0.0
month,0.0
