Week_Start,Week_End,Week_Number,Year,point_id,latitude,longitude,district,sampling_priority,region_type,NDVI,Rainfall_mm,Temperature_C
2026-06-18,2026-06-25,25,2026,P061,18.507856195988797,76.91766150117878,Latur,high,priority,0.307866632938385,9.499836385250092,30.14025005158925
2026-06-25,2026-07-02,26,2026,P061,18.507856195988797,76.91766150117878,Latur,high,priority,,37.96813999116421,25.697248531523257
2026-07-02,2026-07-09,27,2026,P061,18.507856195988797,76.91766150117878,Latur,high,priority,,7.448133714497089,24.7663026355562
2026-07-09,2026-07-16,28,2026,P061,18.507856195988797,76.91766150117878,Latur,high,priority,,0.5244323760271072,26.650679343087347
2026-07-16,2026-07-23,29,2026,P061,18.507856195988797,76.91766150117878,Latur,high,priority,,70.60514286905527,24.851369839622862
2026-07-23,2026-07-30,30,2026,P061,18.507856195988797,76.91766150117878,Latur,high,priority,0.30675873160362244,34.72027100622654,24.812190809703964
2026-07-30,2026-08-06,31,2026,P061,18.507856195988797,76.91766150117878,Latur,high,priority,,60.91873186081648,24.794104694184853
2026-08-06,2026-08-13,32,2026,P061,18.507856195988797,76.91766150117878,Latur,high,priority,0.7002893090248108,16.8766518086195,25.176041176205672
2026-08-13,2026-08-20,33,2026,P061,18.507856195988797,76.91766150117878,Latur,high,priority,0.6672012805938721,5.581067442893982,24.935360027494937
2026-08-20,2026-08-27,34,2026,P061,18.507856195988797,76.91766150117878,Latur,high,priority,,16.313340924680233,25.228241493588428
2026-08-27,2026-09-03,35,2026,P061,18.507856195988797,76.91766150117878,Latur,high,priority,0.6821091175079346,3.793775513768196,25.17818748837425
2026-09-03,2026-09-10,36,2026,P061,18.507856195988797,76.91766150117878,Latur,high,priority,,1.4146832451224327,24.954094187418605
2026-06-18,2026-06-25,25,2026,P062,18.42240733096449,76.34875951203142,Latur,high,priority,0.2808285057544708,2.9725123792886734,29.645993169148824
2026-06-25,2026-07-02,26,2026,P062,18.42240733096449,76.34875951203142,Latur,high,priority,,40.47968916594982,25.428333445957776
2026-07-02,2026-07-09,27,2026,P062,18.42240733096449,76.34875951203142,Latur,high,priority,,2.201223611831665,23.962405686151385
2026-07-09,2026-07-16,28,2026,P062,18.42240733096449,76.34875951203142,Latur,high,priority,,4.301975280046463,25.7573222932362
2026-07-16,2026-07-23,29,2026,P062,18.42240733096449,76.34875951203142,Latur,high,priority,,48.76579895615578,24.210954103015695
2026-07-23,2026-07-30,30,2026,P062,18.42240733096449,76.34875951203142,Latur,high,priority,,11.493676044046879,24.35260189601354
2026-07-30,2026-08-06,31,2026,P062,18.42240733096449,76.34875951203142,Latur,high,priority,,29.053378596901894,24.209934307280093
2026-08-06,2026-08-13,32,2026,P062,18.42240733096449,76.34875951203142,Latur,high,priority,,8.160940773785114,24.53613697233658
2026-08-13,2026-08-20,33,2026,P062,18.42240733096449,76.34875951203142,Latur,high,priority,,6.049954205751419,24.32436904907229
2026-08-20,2026-08-27,34,2026,P062,18.42240733096449,76.34875951203142,Latur,high,priority,,7.091510526835918,24.65568522498728
2026-08-27,2026-09-03,35,2026,P062,18.42240733096449,76.34875951203142,Latur,high,priority,0.663551390171051,2.044399358332157,24.573241896856416
2026-09-03,2026-09-10,36,2026,P062,18.42240733096449,76.34875951203142,Latur,high,priority,,0.12759754061698914,24.292066192626976
2026-06-18,2026-06-25,25,2026,P063,18.235389972146614,77.05646593092125,Latur,high,priority,0.05164945125579834,9.73393102735281,29.815612774803583
2026-06-25,2026-07-02,26,2026,P063,18.235389972146614,77.05646593092125,Latur,high,priority,,37.593829572200775,25.26807256426133
2026-07-02,2026-07-09,27,2026,P063,18.235389972146614,77.05646593092125,Latur,high,priority,,12.285294838249683,24.377991158621683
2026-07-09,2026-07-16,28,2026,P063,18.235389972146614,77.05646593092125,Latur,high,priority,,0.5639657825231552,26.234442828950478
2026-07-16,2026-07-23,29,2026,P063,18.235389972146614,77.05646593092125,Latur,high,priority,,82.91790942847729,24.398209962390695
