Metric,Value
Latest_Realtime_Week,2026-09-03
Total_Monitored_Points,26
Latur_Points,25
Kavathe_Khanapur_Points,1
Current_NDVI_Available_Points,5
Current_GSMaP_Available_Points,26
Current_Temperature_Available_Points,26
Complete_Current_Input_Points,5
Prediction_Ready_Points,5
Predictions_Generated,5
No_Prediction_Points,21
Freshness_READY,5
Freshness_WARNING,13
Freshness_STALE,8
Freshness_VERY_STALE,0
Trend_HIGH_STRESS_RISK,1
Trend_WATCH,1
Trend_STABLE,3
Trend_IMPROVING,0
Trend_NO_PREDICTION,21
Predicted_NDVI_Minimum,0.4921973696750601
Predicted_NDVI_Maximum,0.7839146032601587
Predicted_NDVI_Mean,0.6510094443318402
Predicted_NDVI_Change_Minimum,-0.1070775696731753
Predicted_NDVI_Change_Maximum,0.0012169829410513
Predicted_NDVI_Change_Mean,-0.04719608631162292
P069_High_Stress_Risk,True
P077_Watch_Status,True
P147_Prediction_Available,0
