point_id,district,latitude,longitude,Case_Study_Group,Week_Start,Current_NDVI,Current_GSMaP_Rainfall_mm,Current_Temperature_C,latest_ndvi_week,latest_rainfall_week,latest_temperature_week,common_latest_week,data_age_days,freshness_status,prediction_eligibility,Current_NDVI_Available,Current_GSMaP_Available,Current_Temperature_Available,Current_Inputs_Complete,Prediction_Available,Predicted_NDVI_Next_Week,Predicted_NDVI_Change,Predicted_NDVI_Change_Percent,Prediction_Status,Operational_Trend_Status,reason
P147,Satara,17.927233301558573,73.94769952894042,Kavathe-Khanapur,2026-09-03,,35.15161668509245,22.772005971272847,2026-07-09,2026-09-03,2026-09-03,2026-07-09,65,STALE,NOT_READY,False,True,True,False,False,,,,INCOMPLETE_INPUTS,NO_PREDICTION,Common data is too old for real-time prediction.
P061,Latur,18.5078561959888,76.91766150117878,Latur,2026-09-03,,1.4146832451224327,24.954094187418605,2026-08-27,2026-09-03,2026-09-03,2026-08-27,16,WARNING,NOT_READY,False,True,True,False,False,,,,INCOMPLETE_INPUTS,NO_PREDICTION,Common data exists but is older than the preferred freshness window.
P062,Latur,18.42240733096449,76.34875951203142,Latur,2026-09-03,,0.1275975406169891,24.292066192626976,2026-08-27,2026-09-03,2026-09-03,2026-08-27,16,WARNING,NOT_READY,False,True,True,False,False,,,,INCOMPLETE_INPUTS,NO_PREDICTION,Common data exists but is older than the preferred freshness window.
P063,Latur,18.235389972146614,77.05646593092125,Latur,2026-09-03,,3.1083181723952293,24.36030349731448,2026-08-27,2026-09-03,2026-09-03,2026-08-27,16,WARNING,NOT_READY,False,True,True,False,False,,,,INCOMPLETE_INPUTS,NO_PREDICTION,Common data exists but is older than the preferred freshness window.
P064,Latur,18.19305465477912,76.77240087437879,Latur,2026-09-03,,3.0808936059474945,24.268181101481105,2026-08-27,2026-09-03,2026-09-03,2026-08-27,16,WARNING,NOT_READY,False,True,True,False,False,,,,INCOMPLETE_INPUTS,NO_PREDICTION,Common data exists but is older than the preferred freshness window.
P065,Latur,18.3313574066324,76.44266953714255,Latur,2026-09-03,0.5412353873252869,1.0781823247671127,24.177564239501976,2026-09-03,2026-09-03,2026-09-03,2026-09-03,9,READY,ELIGIBLE,True,True,True,True,True,0.5147747271368213,-0.0264606601884656,-4.888937569147253,READY,STABLE,"Recent common NDVI, rainfall and temperature data available."
P066,Latur,18.10473904318114,76.53529573488291,Latur,2026-09-03,,2.013407491147518,24.14806391398116,2026-06-18,2026-09-03,2026-09-03,2026-06-18,86,STALE,NOT_READY,False,True,True,False,False,,,,INCOMPLETE_INPUTS,NO_PREDICTION,Common data is too old for real-time prediction.
P067,Latur,18.280552688555268,77.0569977719007,Latur,2026-09-03,,3.1083181723952293,24.36030349731448,2026-08-27,2026-09-03,2026-09-03,2026-08-27,16,WARNING,NOT_READY,False,True,True,False,False,,,,INCOMPLETE_INPUTS,NO_PREDICTION,Common data exists but is older than the preferred freshness window.
P068,Latur,18.10182178118835,76.86595913358097,Latur,2026-09-03,,3.3309918642044067,24.352857208251976,2026-08-06,2026-09-03,2026-09-03,2026-08-06,37,STALE,NOT_READY,False,True,True,False,False,,,,INCOMPLETE_INPUTS,NO_PREDICTION,Common data is too old for real-time prediction.
P069,Latur,18.595077104748384,77.2028433593965,Latur,2026-09-03,0.8857399821281433,3.131015993654728,25.54613520304366,2026-09-03,2026-09-03,2026-09-03,2026-09-03,9,READY,ELIGIBLE,True,True,True,True,True,0.7786624124549679,-0.1070775696731753,-12.089052299062196,READY,HIGH_STRESS_RISK,"Recent common NDVI, rainfall and temperature data available."
P070,Latur,18.414990253737063,77.15322456154995,Latur,2026-09-03,,3.118549413979053,25.19815343221029,2026-08-27,2026-09-03,2026-09-03,2026-08-27,16,WARNING,NOT_READY,False,True,True,False,False,,,,INCOMPLETE_INPUTS,NO_PREDICTION,Common data exists but is older than the preferred freshness window.
P071,Latur,18.14913758021374,76.63019555341555,Latur,2026-09-03,,2.542378179728985,24.17784907023116,2026-06-18,2026-09-03,2026-09-03,2026-06-18,86,STALE,NOT_READY,False,True,True,False,False,,,,INCOMPLETE_INPUTS,NO_PREDICTION,Common data is too old for real-time prediction.
P072,Latur,18.28339531825639,76.77331673398585,Latur,2026-09-03,,2.92360470443964,24.27347081502279,2026-08-27,2026-09-03,2026-09-03,2026-08-27,16,WARNING,NOT_READY,False,True,True,False,False,,,,INCOMPLETE_INPUTS,NO_PREDICTION,Common data exists but is older than the preferred freshness window.
P073,Latur,17.96631489517353,76.86453107353908,Latur,2026-09-03,0.4909803867340088,5.119359135627747,24.36388422648116,2026-09-03,2026-09-03,2026-09-03,2026-09-03,9,READY,ELIGIBLE,True,True,True,True,True,0.4921973696750601,0.0012169829410513,0.2478679340221156,READY,STABLE,"Recent common NDVI, rainfall and temperature data available."
P074,Latur,18.508330314740576,76.87031898541534,Latur,2026-09-03,,1.3973242938518524,24.797111765543605,2026-08-27,2026-09-03,2026-09-03,2026-08-27,16,WARNING,NOT_READY,False,True,True,False,False,,,,INCOMPLETE_INPUTS,NO_PREDICTION,Common data exists but is older than the preferred freshness window.
P075,Latur,18.41444799953777,77.20053313424823,Latur,2026-09-03,,3.560820572078228,25.517855580647847,2026-08-27,2026-09-03,2026-09-03,2026-08-27,16,WARNING,NOT_READY,False,True,True,False,False,,,,INCOMPLETE_INPUTS,NO_PREDICTION,Common data exists but is older than the preferred freshness window.
P076,Latur,18.37787563053637,76.25376684114009,Latur,2026-09-03,0.715681254863739,0.0,23.98416417439779,2026-09-03,2026-09-03,2026-09-03,2026-09-03,9,READY,ELIGIBLE,True,True,True,True,True,0.6854981091321929,-0.0301831457315461,-4.217400627223748,READY,STABLE,"Recent common NDVI, rainfall and temperature data available."
P077,Latur,18.05956253680126,76.5349028314077,Latur,2026-09-03,0.8573906421661377,3.29011469334364,24.22472407023116,2026-09-03,2026-09-03,2026-09-03,2026-09-03,9,READY,ELIGIBLE,True,True,True,True,True,0.7839146032601587,-0.0734760389059789,-8.569727180640424,READY,WATCH,"Recent common NDVI, rainfall and temperature data available."
P078,Latur,18.10088423096409,76.96042233853383,Latur,2026-09-03,,3.418640285730362,24.410718536376976,2026-06-18,2026-09-03,2026-09-03,2026-06-18,86,STALE,NOT_READY,False,True,True,False,False,,,,INCOMPLETE_INPUTS,NO_PREDICTION,Common data is too old for real-time prediction.
P079,Latur,18.73508509851779,76.77797630952156,Latur,2026-09-03,,1.080000266432762,25.30590082804366,2026-08-20,2026-09-03,2026-09-03,2026-08-20,23,WARNING,NOT_READY,False,True,True,False,False,,,,INCOMPLETE_INPUTS,NO_PREDICTION,Common data exists but is older than the preferred freshness window.
P080,Latur,18.46791697073923,76.3017674870198,Latur,2026-09-03,,0.1275975406169891,24.292066192626976,2026-06-18,2026-09-03,2026-09-03,2026-06-18,86,STALE,NOT_READY,False,True,True,False,False,,,,INCOMPLETE_INPUTS,NO_PREDICTION,Common data is too old for real-time prediction.
P081,Latur,18.10355816947669,76.67701623054641,Latur,2026-09-03,,2.542378179728985,24.17784907023116,2026-08-06,2026-09-03,2026-09-03,2026-08-06,37,STALE,NOT_READY,False,True,True,False,False,,,,INCOMPLETE_INPUTS,NO_PREDICTION,Common data is too old for real-time prediction.
P082,Latur,18.23907692673672,76.67831117252015,Latur,2026-09-03,,2.5164974853396416,24.252678171793605,2026-08-27,2026-09-03,2026-09-03,2026-08-27,16,WARNING,NOT_READY,False,True,True,False,False,,,,INCOMPLETE_INPUTS,NO_PREDICTION,Common data exists but is older than the preferred freshness window.
P083,Latur,18.36929014280681,77.19995973025816,Latur,2026-09-03,,3.70891547203064,24.823560333251976,2026-08-27,2026-09-03,2026-09-03,2026-08-27,16,WARNING,NOT_READY,False,True,True,False,False,,,,INCOMPLETE_INPUTS,NO_PREDICTION,Common data exists but is older than the preferred freshness window.
P084,Latur,18.463624680619493,76.82249738663205,Latur,2026-09-03,,1.7801535949110985,24.43199946085616,2026-07-23,2026-09-03,2026-09-03,2026-07-23,51,STALE,NOT_READY,False,True,True,False,False,,,,INCOMPLETE_INPUTS,NO_PREDICTION,Common data is too old for real-time prediction.
P085,Latur,18.147883987773707,76.77194494109243,Latur,2026-09-03,,3.0808936059474945,24.268181101481105,2026-08-27,2026-09-03,2026-09-03,2026-08-27,16,WARNING,NOT_READY,False,True,True,False,False,,,,INCOMPLETE_INPUTS,NO_PREDICTION,Common data exists but is older than the preferred freshness window.
