Week_Start,Week_End,Week_Number,Year,point_id,CHIRPS_mm,GSMaP_mm,Difference_mm,Absolute_Difference_mm,Relative_Difference_Percent
2026-06-18,2026-06-25,25,2026,P061,21.297733783721924,9.499836385250092,-11.797897398471832,11.797897398471832,-55.395083431313644
2026-06-25,2026-07-02,26,2026,P061,52.94959592819214,37.96813999116421,-14.981455937027931,14.981455937027931,-28.293805976055243
2026-07-02,2026-07-09,27,2026,P061,10.774079322814941,7.448133714497089,-3.325945608317852,3.325945608317852,-30.869882322797704
2026-07-09,2026-07-16,28,2026,P061,8.283425331115723,0.5244323760271072,-7.758992955088615,7.758992955088615,-93.66889474989122
2026-07-16,2026-07-23,29,2026,P061,73.10873031616211,70.60514286905527,-2.5035874471068382,2.5035874471068382,-3.4244712447883554
2026-07-23,2026-07-30,30,2026,P061,81.25275611877441,34.72027100622654,-46.532485112547874,46.532485112547874,-57.26880826605707
2026-07-30,2026-08-01,31,2026,P061,81.25275611877441,50.19125854969025,-31.061497569084167,31.061497569084167,-38.22823871190142
2026-06-18,2026-06-25,25,2026,P062,19.90848159790039,2.9725123792886734,-16.935969218611717,16.935969218611717,-85.06911556930507
2026-06-25,2026-07-02,26,2026,P062,41.99188423156738,40.47968916594982,-1.5121950656175613,1.5121950656175613,-3.6011603034492303
2026-07-02,2026-07-09,27,2026,P062,9.553662300109863,2.201223611831665,-7.352438688278198,7.352438688278198,-76.9593738748087
2026-07-09,2026-07-16,28,2026,P062,0.0,4.301975280046463,4.301975280046463,4.301975280046463,
2026-07-16,2026-07-23,29,2026,P062,58.171387672424316,48.76579895615578,-9.40558871626854,9.40558871626854,-16.16875424948335
2026-07-23,2026-07-30,30,2026,P062,47.44680404663086,11.493676044046879,-35.95312800258398,35.95312800258398,-75.7756580764621
2026-07-30,2026-08-01,31,2026,P062,86.98580551147461,24.500307649374008,-62.4854978621006,62.4854978621006,-71.83413143637316
2026-06-18,2026-06-25,25,2026,P063,35.079834938049316,9.73393102735281,-25.345903910696507,25.345903910696507,-72.25206149190026
2026-06-25,2026-07-02,26,2026,P063,61.628928899765015,37.593829572200775,-24.03509932756424,24.03509932756424,-38.99970315345831
2026-07-02,2026-07-09,27,2026,P063,3.7721173763275146,12.285294838249683,8.513177461922169,8.513177461922169,225.6869713373153
2026-07-09,2026-07-16,28,2026,P063,0.0,0.5639657825231552,0.5639657825231552,0.5639657825231552,
2026-07-16,2026-07-23,29,2026,P063,55.96103382110596,82.91790942847729,26.95687560737133,26.95687560737133,48.17079629648375
2026-07-23,2026-07-30,30,2026,P063,75.12517547607422,43.47792012989521,-31.64725534617901,31.64725534617901,-42.12603184701777
2026-07-30,2026-08-01,31,2026,P063,68.29561233520508,29.51206048578024,-38.78355184942484,38.78355184942484,-56.78776501639573
2026-06-18,2026-06-25,25,2026,P064,18.32209014892578,3.8690282851457596,-14.453061863780022,14.453061863780022,-78.88325920406739
2026-06-25,2026-07-02,26,2026,P064,44.84732723236084,37.96556754410267,-6.881759688258171,6.881759688258171,-15.344860246860922
2026-07-02,2026-07-09,27,2026,P064,0.0,12.324095211923122,12.324095211923122,12.324095211923122,
2026-07-09,2026-07-16,28,2026,P064,0.0,2.7723682895302773,2.7723682895302773,2.7723682895302773,
2026-07-16,2026-07-23,29,2026,P064,64.84466361999512,66.59579915553331,1.7511355355381966,1.7511355355381966,2.7005083190812122
2026-07-23,2026-07-30,30,2026,P064,61.471553802490234,27.787586584687233,-33.683967217803,33.683967217803,-54.79602374462584
2026-07-30,2026-08-01,31,2026,P064,76.8394422531128,26.609292224049568,-50.230150029063225,50.230150029063225,-65.37026890903594
2026-06-18,2026-06-25,25,2026,P065,20.42111587524414,2.266599915921688,-18.154515959322453,18.154515959322453,-88.90070488915146
2026-06-25,2026-07-02,26,2026,P065,43.242961406707764,44.64835062623024,1.4053892195224762,1.4053892195224762,3.249983751816949
2026-07-02,2026-07-09,27,2026,P065,7.1733551025390625,5.589311197400093,-1.5840439051389694,1.5840439051389694,-22.08232943296346
2026-07-09,2026-07-16,28,2026,P065,0.0,4.00525276362896,4.00525276362896,4.00525276362896,
2026-07-16,2026-07-23,29,2026,P065,59.31424140930176,56.59867166727781,-2.715569742023945,2.715569742023945,-4.578276106213649
2026-07-23,2026-07-30,30,2026,P065,56.53912162780762,15.035408936440945,-41.50371269136667,41.50371269136667,-73.40707017803035
2026-07-30,2026-08-01,31,2026,P065,69.1033706665039,24.399334877729416,-44.70403578877449,44.70403578877449,-64.69154161020344
2026-06-18,2026-06-25,25,2026,P066,19.588871002197266,2.1657121181488037,-17.423158884048462,17.423158884048462,-88.9441708105287
2026-06-25,2026-07-02,26,2026,P066,48.71277618408203,39.760984010994434,-8.951792173087597,8.951792173087597,-18.37668241132352
2026-07-02,2026-07-09,27,2026,P066,9.747139930725098,8.821818880736828,-0.9253210499882698,0.9253210499882698,-9.493257063761416
2026-07-09,2026-07-16,28,2026,P066,0.0,3.5866723135113716,3.5866723135113716,3.5866723135113716,
2026-07-16,2026-07-23,29,2026,P066,53.426618576049805,63.70939467102289,10.282776094973087,10.282776094973087,19.246541085762576
2026-07-23,2026-07-30,30,2026,P066,35.145652770996094,21.66640516370535,-13.479247607290745,13.479247607290745,-38.352531663359734
2026-07-30,2026-08-01,31,2026,P066,87.86413192749023,23.134379036724567,-64.72975289076567,64.72975289076567,-73.67028100179014
2026-06-18,2026-06-25,25,2026,P067,35.765868186950684,9.73393102735281,-26.031937159597874,26.031937159597874,-72.78430100879176
2026-06-25,2026-07-02,26,2026,P067,55.39384341239929,37.593829572200775,-17.800013840198517,17.800013840198517,-32.13355987538172
2026-07-02,2026-07-09,27,2026,P067,5.668384075164795,12.285294838249683,6.6169107630848885,6.6169107630848885,116.73363475978853
2026-07-09,2026-07-16,28,2026,P067,0.0,0.5639657825231552,0.5639657825231552,0.5639657825231552,
2026-07-16,2026-07-23,29,2026,P067,49.60155487060547,82.91790942847729,33.31635455787182,33.31635455787182,67.16796407851223
2026-07-23,2026-07-30,30,2026,P067,63.54376029968262,43.47792012989521,-20.065840169787407,20.065840169787407,-31.577986690044263
2026-07-30,2026-08-01,31,2026,P067,79.42970275878906,29.51206048578024,-49.91764227300882,49.91764227300882,-62.84505737683291
2026-06-18,2026-06-25,25,2026,P068,22.617950439453125,4.457667164504528,-18.160283274948597,18.160283274948597,-80.29146285187319
2026-06-25,2026-07-02,26,2026,P068,41.99636363983154,38.406783036887646,-3.5895806029438972,3.5895806029438972,-8.547360513707316
2026-07-02,2026-07-09,27,2026,P068,6.79621696472168,12.050799302756786,5.254582338035107,5.254582338035107,77.31628294551209
2026-07-09,2026-07-16,28,2026,P068,0.0,2.26360110193491,2.26360110193491,2.26360110193491,
2026-07-16,2026-07-23,29,2026,P068,54.23623085021973,68.23768815398216,14.001457303762436,14.001457303762436,25.8156901471071
2026-07-23,2026-07-30,30,2026,P068,64.57398891448975,30.249111525714397,-34.32487738877535,34.32487738877535,-53.155888254369856
2026-07-30,2026-08-01,31,2026,P068,71.27193927764893,27.30684994906187,-43.965089328587055,43.965089328587055,-61.68639407623727
2026-06-18,2026-06-25,25,2026,P069,20.805205821990967,10.533766098320484,-10.271439723670483,10.271439723670483,-49.36956553832136
2026-06-25,2026-07-02,26,2026,P069,52.695438385009766,40.12986432760954,-12.565574057400227,12.565574057400227,-23.84565807308047
2026-07-02,2026-07-09,27,2026,P069,9.946533203125,9.564100250601768,-0.3824329525232315,0.3824329525232315,-3.8448869039423585
2026-07-09,2026-07-16,28,2026,P069,0.0,0.5744953155517578,0.5744953155517578,0.5744953155517578,
2026-07-16,2026-07-23,29,2026,P069,73.9158182144165,81.63796741515398,7.722149200737476,7.722149200737476,10.447221430109737
2026-07-23,2026-07-30,30,2026,P069,88.14936447143555,53.64087554067373,-34.508488930761814,34.508488930761814,-39.14774557670708
2026-07-30,2026-08-01,31,2026,P069,73.45780372619629,52.62994787096977,-20.827855855226517,20.827855855226517,-28.35349656363188
2026-06-18,2026-06-25,25,2026,P070,33.88431692123413,9.015434570610523,-24.868882350623608,24.868882350623608,-73.39348881794675
2026-06-25,2026-07-02,26,2026,P070,45.573486328125,38.666201531887054,-6.907284796237946,6.907284796237946,-15.156366898301608
2026-07-02,2026-07-09,27,2026,P070,9.587451934814453,11.074094183743,1.486642248928547,1.486642248928547,15.506124662071832
2026-07-09,2026-07-16,28,2026,P070,0.0,0.5884178131818771,0.5884178131818771,0.5884178131818771,
2026-07-16,2026-07-23,29,2026,P070,61.16454362869263,84.1559903845191,22.991446755826473,22.991446755826473,37.58950102758726
2026-07-23,2026-07-30,30,2026,P070,73.18672180175781,49.7959391400218,-23.39078266173601,23.39078266173601,-31.960418619507298
2026-07-30,2026-08-01,31,2026,P070,81.31857872009277,41.593132093548775,-39.725446626544,39.725446626544,-48.851624378831346
2026-06-18,2026-06-25,25,2026,P071,18.603025436401367,3.2778567895293236,-15.325168646872044,15.325168646872044,-82.37998006971814
2026-06-25,2026-07-02,26,2026,P071,48.88963222503662,37.60368412733078,-11.285948097705841,11.285948097705841,-23.084542844906597
2026-07-02,2026-07-09,27,2026,P071,9.944543838500977,11.669830732047558,1.7252868935465813,1.7252868935465813,17.349080275226058
2026-07-09,2026-07-16,28,2026,P071,0.0,3.090169809758663,3.090169809758663,3.090169809758663,
2026-07-16,2026-07-23,29,2026,P071,60.16024589538574,65.89915301650763,5.738907121121883,5.738907121121883,9.539367792979807
2026-07-23,2026-07-30,30,2026,P071,42.374542236328125,25.82998152822256,-16.544560708105564,16.544560708105564,-39.04363288654419
2026-07-30,2026-08-01,31,2026,P071,84.74908828735352,25.56114476174116,-59.187943525612354,59.187943525612354,-69.83903275151167
2026-06-18,2026-06-25,25,2026,P072,24.73465919494629,4.475508019328117,-20.25915117561817,20.25915117561817,-81.90592405557567
2026-06-25,2026-07-02,26,2026,P072,43.08073425292969,39.90878776460886,-3.1719464883208275,3.1719464883208275,-7.36279579103302
2026-07-02,2026-07-09,27,2026,P072,9.073594093322754,11.72559154778719,2.6519974544644356,2.6519974544644356,29.227640416668375
2026-07-09,2026-07-16,28,2026,P072,0.0,2.8203998133540154,2.8203998133540154,2.8203998133540154,
2026-07-16,2026-07-23,29,2026,P072,56.19587707519531,68.14375138282776,11.947874307632446,11.947874307632446,21.26112257603005
2026-07-23,2026-07-30,30,2026,P072,56.37604808807373,26.868365459144115,-29.507682628929615,29.507682628929615,-52.340814281325834
2026-07-30,2026-08-01,31,2026,P072,80.5372142791748,29.19990049302578,-51.337313786149025,51.337313786149025,-63.743592630598044
2026-06-18,2026-06-25,25,2026,P073,15.410347938537598,1.5536686554551125,-13.856679283082485,13.856679283082485,-89.91801702562627
2026-06-25,2026-07-02,26,2026,P073,52.07652139663696,32.02068351209164,-20.055837884545326,20.055837884545326,-38.51224572354118
2026-07-02,2026-07-09,27,2026,P073,0.0,13.48579116910696,13.48579116910696,13.48579116910696,
2026-07-09,2026-07-16,28,2026,P073,0.0,0.7335179299116135,0.7335179299116135,0.7335179299116135,
2026-07-16,2026-07-23,29,2026,P073,51.73110866546631,61.39219031482935,9.661081649363041,9.661081649363041,18.67557432770121
2026-07-23,2026-07-30,30,2026,P073,52.55459785461426,30.24236572533846,-22.3122321292758,22.3122321292758,-42.455337953493256
2026-07-30,2026-08-01,31,2026,P073,75.22347831726074,22.42958964407444,-52.7938886731863,52.7938886731863,-70.18272732686471
2026-06-18,2026-06-25,25,2026,P074,19.123416900634766,9.388825304806232,-9.734591595828533,9.734591595828533,-50.90403899266251
2026-06-25,2026-07-02,26,2026,P074,53.38814067840576,37.60816599428654,-15.779974684119225,15.779974684119225,-29.55707856389509
2026-07-02,2026-07-09,27,2026,P074,10.677940368652344,7.659026585519314,-3.01891378313303,3.01891378313303,-28.27243530967616
2026-07-09,2026-07-16,28,2026,P074,0.0,0.49193254113197327,0.49193254113197327,0.49193254113197327,
2026-07-16,2026-07-23,29,2026,P074,85.26210498809814,66.54134138673544,-18.720763601362705,18.720763601362705,-21.956722278878715
2026-07-23,2026-07-30,30,2026,P074,81.22250747680664,27.581135466694832,-53.64137201011181,53.64137201011181,-66.04249693402939
2026-07-30,2026-08-01,31,2026,P074,90.24723052978516,49.40910266339779,-40.83812786638737,40.83812786638737,-45.2513917897006
