point_id,district,latitude,longitude,latest_ndvi_week,latest_rainfall_week,latest_temperature_week,common_latest_week,data_age_days,current_ndvi,current_rainfall,current_temperature,ndvi_recent_history_count,rainfall_recent_history_count,temperature_recent_history_count,freshness_status,prediction_eligibility,reason
P061,Latur,18.5078561959888,76.91766150117878,2026-08-27,2026-09-03,2026-09-03,2026-08-27,16,0.6821091175079346,3.793775513768196,25.17818748837425,4,9,9,WARNING,NOT_READY,Common data exists but is older than the preferred freshness window.
P062,Latur,18.42240733096449,76.34875951203142,2026-08-27,2026-09-03,2026-09-03,2026-08-27,16,0.663551390171051,2.044399358332157,24.573241896856416,1,9,9,WARNING,NOT_READY,Common data exists but is older than the preferred freshness window.
P063,Latur,18.235389972146614,77.05646593092125,2026-08-27,2026-09-03,2026-09-03,2026-08-27,16,0.6907020807266235,5.446949638426304,24.69535871233262,2,9,9,WARNING,NOT_READY,Common data exists but is older than the preferred freshness window.
P064,Latur,18.19305465477912,76.77240087437879,2026-08-27,2026-09-03,2026-09-03,2026-08-27,16,0.4802631437778473,3.4048377573490143,24.65910964239214,2,9,9,WARNING,NOT_READY,Common data exists but is older than the preferred freshness window.
P065,Latur,18.3313574066324,76.44266953714255,2026-09-03,2026-09-03,2026-09-03,2026-09-03,9,0.5412353873252869,1.0781823247671127,24.177564239501976,3,9,9,READY,ELIGIBLE,"Recent common NDVI, rainfall and temperature data available."
P066,Latur,18.10473904318114,76.53529573488291,2026-06-18,2026-09-03,2026-09-03,2026-06-18,86,0.235807865858078,2.165712118148804,29.520574642363044,1,1,1,STALE,NOT_READY,Common data is too old for real-time prediction.
P067,Latur,18.280552688555268,77.0569977719007,2026-08-27,2026-09-03,2026-09-03,2026-08-27,16,0.6971197128295898,5.446949638426304,24.69535871233262,1,9,9,WARNING,NOT_READY,Common data exists but is older than the preferred freshness window.
P068,Latur,18.10182178118835,76.86595913358097,2026-08-06,2026-09-03,2026-09-03,2026-08-06,37,0.6797624230384827,19.70513597875833,24.79324030194965,2,8,8,STALE,NOT_READY,Common data is too old for real-time prediction.
P069,Latur,18.595077104748384,77.2028433593965,2026-09-03,2026-09-03,2026-09-03,2026-09-03,9,0.8857399821281433,3.131015993654728,25.54613520304366,2,9,9,READY,ELIGIBLE,"Recent common NDVI, rainfall and temperature data available."
P070,Latur,18.414990253737063,77.15322456154995,2026-08-27,2026-09-03,2026-09-03,2026-08-27,16,0.7194280624389648,5.198237739503384,25.474888102213583,2,9,9,WARNING,NOT_READY,Common data exists but is older than the preferred freshness window.
P071,Latur,18.14913758021374,76.63019555341555,2026-06-18,2026-09-03,2026-09-03,2026-06-18,86,0.2931506931781769,3.277856789529324,29.63465806870232,1,1,1,STALE,NOT_READY,Common data is too old for real-time prediction.
P072,Latur,18.28339531825639,76.77331673398585,2026-08-27,2026-09-03,2026-09-03,2026-08-27,16,0.6885764002799988,4.178836859762669,24.620814441499306,3,9,9,WARNING,NOT_READY,Common data exists but is older than the preferred freshness window.
P073,Latur,17.96631489517353,76.86453107353908,2026-09-03,2026-09-03,2026-09-03,2026-09-03,9,0.4909803867340088,5.119359135627747,24.36388422648116,3,9,9,READY,ELIGIBLE,"Recent common NDVI, rainfall and temperature data available."
P074,Latur,18.508330314740576,76.87031898541534,2026-08-27,2026-09-03,2026-09-03,2026-08-27,16,0.7939953804016113,3.548680387437344,25.041573370070694,2,9,9,WARNING,NOT_READY,Common data exists but is older than the preferred freshness window.
P075,Latur,18.41444799953777,77.20053313424823,2026-08-27,2026-09-03,2026-09-03,2026-08-27,16,0.5656196475028992,5.3740855529904366,25.796874709356477,2,9,9,WARNING,NOT_READY,Common data exists but is older than the preferred freshness window.
P076,Latur,18.37787563053637,76.25376684114009,2026-09-03,2026-09-03,2026-09-03,2026-09-03,9,0.715681254863739,0.0,23.98416417439779,1,9,9,READY,ELIGIBLE,"Recent common NDVI, rainfall and temperature data available."
P077,Latur,18.05956253680126,76.5349028314077,2026-09-03,2026-09-03,2026-09-03,2026-09-03,9,0.8573906421661377,3.29011469334364,24.22472407023116,4,9,9,READY,ELIGIBLE,"Recent common NDVI, rainfall and temperature data available."
